x	rho	u	v	p	e	uMax
-0.4995	1.01184	-0.0126213	-0.0999529	0.726189	1.79423	0.100747
-0.4985	1.01751	-0.0149578	-0.0998534	0.731905	1.79827	0.100968
-0.4975	1.01978	-0.0151324	-0.0997762	0.734187	1.79987	0.100917
-0.4965	1.02092	-0.0152153	-0.0997345	0.735335	1.80067	0.100888
-0.4955	1.0215	-0.0152598	-0.099715	0.735914	1.80107	0.100876
-0.4945	1.0218	-0.0152854	-0.0997045	0.736213	1.80127	0.100869
-0.4935	1.02196	-0.0153027	-0.0996967	0.736372	1.80138	0.100864
-0.4925	1.02205	-0.015316	-0.0996927	0.736457	1.80143	0.100862
-0.4915	1.0221	-0.0153272	-0.0996929	0.736505	1.80145	0.100864
-0.4905	1.02213	-0.0153374	-0.0996958	0.736533	1.80147	0.100869
-0.4895	1.02215	-0.0153469	-0.0996997	0.736551	1.80148	0.100874
-0.4885	1.02216	-0.0153561	-0.0997037	0.736563	1.80148	0.100879
-0.4875	1.02217	-0.0153652	-0.0997078	0.736573	1.80149	0.100885
-0.4865	1.02218	-0.0153741	-0.0997118	0.736582	1.80149	0.10089
-0.4855	1.02219	-0.0153831	-0.0997157	0.73659	1.80149	0.100895
-0.4845	1.0222	-0.0153919	-0.0997194	0.736597	1.8015	0.1009
-0.4835	1.02221	-0.0154008	-0.0997229	0.736604	1.8015	0.100905
-0.4825	1.02222	-0.0154096	-0.0997262	0.736611	1.8015	0.10091
-0.4815	1.02222	-0.0154184	-0.0997294	0.736618	1.80151	0.100914
-0.4805	1.02223	-0.0154272	-0.0997323	0.736625	1.80151	0.100918
-0.4795	1.02224	-0.015436	-0.0997351	0.736632	1.80152	0.100923
-0.4785	1.02225	-0.0154448	-0.0997377	0.736638	1.80152	0.100926
-0.4775	1.02225	-0.0154535	-0.0997402	0.736645	1.80152	0.10093
-0.4765	1.02226	-0.0154623	-0.0997425	0.736651	1.80153	0.100934
-0.4755	1.02227	-0.015471	-0.0997446	0.736657	1.80153	0.100937
-0.4745	1.02227	-0.0154797	-0.0997466	0.736663	1.80154	0.100941
-0.4735	1.02228	-0.0154884	-0.0997485	0.736669	1.80154	0.100944
-0.4725	1.02228	-0.0154971	-0.0997502	0.736675	1.80154	0.100947
-0.4715	1.02229	-0.0155058	-0.0997518	0.736681	1.80155	0.10095
-0.4705	1.0223	-0.0155144	-0.0997533	0.736687	1.80155	0.100953
-0.4695	1.0223	-0.0155231	-0.0997547	0.736693	1.80156	0.100955
-0.4685	1.02231	-0.0155317	-0.099756	0.736698	1.80156	0.100958
-0.4675	1.02231	-0.0155403	-0.0997572	0.736704	1.80156	0.10096
-0.4665	1.02232	-0.0155489	-0.0997583	0.73671	1.80157	0.100963
-0.4655	1.02232	-0.0155575	-0.0997593	0.736715	1.80157	0.100965
-0.4645	1.02233	-0.015566	-0.0997601	0.736721	1.80157	0.100967
-0.4635	1.02233	-0.0155746	-0.0997609	0.736726	1.80158	0.100969
-0.4625	1.02234	-0.0155831	-0.0997616	0.736731	1.80158	0.100971
-0.4615	1.02235	-0.0155916	-0.0997623	0.736737	1.80158	0.100973
-0.4605	1.02235	-0.0156002	-0.0997628	0.736742	1.80159	0.100975
-0.4595	1.02236	-0.0156086	-0.0997632	0.736747	1.80159	0.100977
-0.4585	1.02236	-0.0156171	-0.0997635	0.736752	1.8016	0.100979
-0.4575	1.02237	-0.0156256	-0.0997638	0.736758	1.8016	0.10098
-0.4565	1.02237	-0.015634	-0.0997639	0.736763	1.8016	0.100982
-0.4555	1.02238	-0.0156425	-0.099764	0.736768	1.80161	0.100983
-0.4545	1.02238	-0.0156509	-0.099764	0.736773	1.80161	0.100984
-0.4535	1.02239	-0.0156593	-0.0997638	0.736778	1.80161	0.100985
-0.4525	1.02239	-0.0156677	-0.0997636	0.736783	1.80162	0.100986
-0.4515	1.0224	-0.0156761	-0.0997633	0.736788	1.80162	0.100987
-0.4505	1.0224	-0.0156845	-0.0997628	0.736793	1.80162	0.100988
