x	rho	u	v	p	e	uMax
-0.4995	1.01334	-0.012212	-0.0998658	0.727715	1.79533	0.10061
-0.4985	1.01868	-0.0151227	-0.0997383	0.733086	1.7991	0.100878
-0.4975	1.01966	-0.0153785	-0.0996962	0.734064	1.79978	0.100875
-0.4965	1.01987	-0.0154196	-0.0996873	0.734273	1.79992	0.100873
-0.4955	1.01991	-0.015417	-0.0996881	0.734311	1.79995	0.100873
-0.4945	1.01991	-0.0154021	-0.0996916	0.734309	1.79994	0.100874
-0.4935	1.0199	-0.0153824	-0.0996962	0.734296	1.79993	0.100876
-0.4925	1.01989	-0.0153633	-0.0997018	0.734279	1.79991	0.100879
-0.4915	1.01987	-0.0153444	-0.099708	0.734263	1.79989	0.100882
-0.4905	1.01986	-0.0153256	-0.0997148	0.734247	1.79987	0.100886
-0.4895	1.01985	-0.0153068	-0.0997223	0.734231	1.79986	0.10089
-0.4885	1.01983	-0.015288	-0.0997305	0.734215	1.79985	0.100895
-0.4875	1.01982	-0.0152692	-0.0997395	0.734199	1.79983	0.100902
-0.4865	1.0198	-0.0152504	-0.0997487	0.734184	1.79982	0.100908
-0.4855	1.01978	-0.0152316	-0.099757	0.734168	1.79981	0.100913
-0.4845	1.01977	-0.0152127	-0.0997644	0.734152	1.7998	0.100918
-0.4835	1.01975	-0.0151939	-0.0997721	0.734136	1.79979	0.100922
-0.4825	1.01974	-0.015175	-0.0997805	0.734121	1.79978	0.100928
-0.4815	1.01973	-0.015156	-0.0997894	0.734105	1.79976	0.100934
-0.4805	1.01971	-0.0151371	-0.0997985	0.73409	1.79975	0.10094
-0.4795	1.0197	-0.0151181	-0.0998077	0.734075	1.79974	0.100946
-0.4785	1.01968	-0.0150991	-0.099817	0.73406	1.79973	0.100953
-0.4775	1.01967	-0.0150801	-0.0998264	0.734044	1.79971	0.100959
-0.4765	1.01965	-0.0150611	-0.0998357	0.734029	1.7997	0.100965
-0.4755	1.01964	-0.0150421	-0.0998448	0.734014	1.79969	0.100972
-0.4745	1.01963	-0.0150231	-0.0998537	0.733999	1.79968	0.100978
-0.4735	1.01961	-0.0150041	-0.0998623	0.733984	1.79966	0.100983
-0.4725	1.0196	-0.014985	-0.0998706	0.733969	1.79965	0.100989
-0.4715	1.01958	-0.014966	-0.0998786	0.733954	1.79964	0.100994
-0.4705	1.01957	-0.0149469	-0.0998863	0.733939	1.79963	0.100998
-0.4695	1.01955	-0.0149278	-0.0998937	0.733924	1.79962	0.101003
-0.4685	1.01954	-0.0149087	-0.0999007	0.733909	1.79961	0.101007
-0.4675	1.01953	-0.0148896	-0.0999074	0.733894	1.7996	0.101011
-0.4665	1.01951	-0.0148705	-0.0999138	0.733878	1.79958	0.101014
-0.4655	1.0195	-0.0148514	-0.0999198	0.733863	1.79957	0.101017
-0.4645	1.01948	-0.0148323	-0.0999255	0.733848	1.79956	0.10102
-0.4635	1.01947	-0.0148131	-0.0999309	0.733833	1.79955	0.101023
-0.4625	1.01945	-0.014794	-0.0999359	0.733818	1.79954	0.101025
-0.4615	1.01944	-0.0147748	-0.0999407	0.733802	1.79953	0.101027
-0.4605	1.01942	-0.0147557	-0.0999452	0.733787	1.79952	0.101029
-0.4595	1.01941	-0.0147365	-0.0999494	0.733772	1.79951	0.10103
-0.4585	1.01939	-0.0147173	-0.0999533	0.733756	1.7995	0.101031
-0.4575	1.01938	-0.0146981	-0.099957	0.733741	1.79948	0.101032
-0.4565	1.01936	-0.0146789	-0.0999604	0.733726	1.79947	0.101032
-0.4555	1.01935	-0.0146596	-0.0999636	0.73371	1.79946	0.101033
-0.4545	1.01933	-0.0146404	-0.0999665	0.733695	1.79945	0.101033
-0.4535	1.01932	-0.0146212	-0.0999693	0.73368	1.79944	0.101033
-0.4525	1.0193	-0.0146019	-0.0999719	0.733664	1.79943	0.101033
-0.4515	1.01929	-0.0145826	-0.0999742	0.733649	1.79942	0.101032
-0.4505	1.01927	-0.0145634	-0.0999764	0.733633	1.79941	0.101032
-0.4495	1.01925	-0.0145441	-0.0999784	0.733618	1.7994	0.101031
-0.4485	1.01924	-0.0145248	-0.0999803	0.733602	1.79939	0.10103
-0.4475	1.01922	-0.0145055	-0.099982	0.733586	1.79937	0.101029
-0.4465	1.01921	-0.0144862	-0.0999836	0.733571	1.79936	0.101028
-0.4455	1.01919	-0.0144668	-0.0999851	0.733555	1.79935	0.101026
-0.4445	1.01918	-0.0144475	-0.0999865	0.73354	1.79934	0.101025
-0.4435	1.01916	-0.0144281	-0.0999877	0.733524	1.79933	0.101023
-0.4425	1.01915	-0.0144088	-0.0999889	0.733508	1.79932	0.101022
-0.4415	1.01913	-0.0143894	-0.0999899	0.733493	1.79931	0.10102
-0.4405	1.01912	-0.01437	-0.0999909	0.733477	1.7993	0.101018
-0.4395	1.0191	-0.0143506	-0.0999917	0.733461	1.79929	0.101016
-0.4385	1.01908	-0.0143312	-0.0999925	0.733445	1.79928	0.101014
-0.4375	1.01907	-0.0143118	-0.0999933	0.73343	1.79926	0.101012
-0.4365	1.01905	-0.0142924	-0.0999939	0.733414	1.79925	0.10101
-0.4355	1.01904	-0.014273	-0.0999945	0.733398	1.79924	0.101008
-0.4345	1.01902	-0.0142535	-0.0999951	0.733382	1.79923	0.101006
-0.4335	1.01901	-0.0142341	-0.0999956	0.733366	1.79922	0.101004
-0.4325	1.01899	-0.0142146	-0.099996	0.73335	1.79921	0.101001
-0.4315	1.01897	-0.0141951	-0.0999964	0.733335	1.7992	0.100999
-0.4305	1.01896	-0.0141756	-0.0999968	0.733319	1.79919	0.100997
-0.4295	1.01894	-0.0141562	-0.0999971	0.733303	1.79918	0.100994
-0.4285	1.01893	-0.0141367	-0.0999974	0.733287	1.79916	0.100992
-0.4275	1.01891	-0.0141171	-0.0999977	0.733271	1.79915	0.100989
-0.4265	1.0189	-0.0140976	-0.099998	0.733255	1.79914	0.100987
-0.4255	1.01888	-0.0140781	-0.0999982	0.733239	1.79913	0.100984
-0.4245	1.01886	-0.0140586	-0.0999984	0.733223	1.79912	0.100982
-0.4235	1.01885	-0.014039	-0.0999985	0.733207	1.79911	0.100979
-0.4225	1.01883	-0.0140195	-0.0999987	0.733191	1.7991	0.100977
-0.4215	1.01882	-0.0139999	-0.0999988	0.733175	1.79909	0.100974
-0.4205	1.0188	-0.0139803	-0.099999	0.733159	1.79907	0.100971
-0.4195	1.01878	-0.0139607	-0.0999991	0.733143	1.79906	0.100969
-0.4185	1.01877	-0.0139411	-0.0999992	0.733127	1.79905	0.100966
-0.4175	1.01875	-0.0139215	-0.0999993	0.733111	1.79904	0.100964
-0.4165	1.01874	-0.0139019	-0.0999993	0.733095	1.79903	0.100961
-0.4155	1.01872	-0.0138823	-0.0999994	0.733078	1.79902	0.100958
-0.4145	1.0187	-0.0138627	-0.0999995	0.733062	1.79901	0.100956
-0.4135	1.01869	-0.013843	-0.0999995	0.733046	1.799	0.100953
-0.4125	1.01867	-0.0138234	-0.0999996	0.73303	1.79898	0.10095
-0.4115	1.01866	-0.0138037	-0.0999996	0.733014	1.79897	0.100948
-0.4105	1.01864	-0.0137841	-0.0999997	0.732998	1.79896	0.100945
-0.4095	1.01862	-0.0137644	-0.0999997	0.732981	1.79895	0.100943
-0.4085	1.01861	-0.0137447	-0.0999997	0.732965	1.79894	0.10094
-0.4075	1.01859	-0.0137251	-0.0999997	0.732949	1.79893	0.100937
-0.4065	1.01858	-0.0137054	-0.0999998	0.732933	1.79892	0.100935
-0.4055	1.01856	-0.0136857	-0.0999998	0.732916	1.7989	0.100932
-0.4045	1.01854	-0.0136659	-0.0999998	0.7329	1.79889	0.100929
-0.4035	1.01853	-0.0136462	-0.0999998	0.732884	1.79888	0.100927
-0.4025	1.01851	-0.0136265	-0.0999998	0.732867	1.79887	0.100924
-0.4015	1.01849	-0.0136068	-0.0999998	0.732851	1.79886	0.100921
-0.4005	1.01848	-0.013587	-0.0999999	0.732835	1.79885	0.100919
-0.3995	1.01846	-0.0135673	-0.0999999	0.732818	1.79884	0.100916
-0.3985	1.01845	-0.0135475	-0.0999999	0.732802	1.79882	0.100913
-0.3975	1.01843	-0.0135278	-0.0999999	0.732786	1.79881	0.100911
-0.3965	1.01841	-0.013508	-0.0999999	0.732769	1.7988	0.100908
-0.3955	1.0184	-0.0134882	-0.0999999	0.732753	1.79879	0.100905
-0.3945	1.01838	-0.0134684	-0.0999999	0.732736	1.79878	0.100903
-0.3935	1.01836	-0.0134486	-0.0999999	0.73272	1.79877	0.1009
-0.3925	1.01835	-0.0134288	-0.0999999	0.732703	1.79876	0.100898
-0.3915	1.01833	-0.013409	-0.0999999	0.732687	1.79874	0.100895
-0.3905	1.01832	-0.0133892	-0.0999999	0.73267	1.79873	0.100892
-0.3895	1.0183	-0.0133694	-0.0999999	0.732654	1.79872	0.10089
-0.3885	1.01828	-0.0133496	-0.0999999	0.732637	1.79871	0.100887
-0.3875	1.01827	-0.0133297	-0.0999999	0.732621	1.7987	0.100884
-0.3865	1.01825	-0.0133099	-0.0999999	0.732604	1.79869	0.100882
-0.3855	1.01823	-0.01329	-0.0999999	0.732588	1.79867	0.100879
-0.3845	1.01822	-0.0132702	-0.0999999	0.732571	1.79866	0.100877
-0.3835	1.0182	-0.0132503	-0.0999999	0.732555	1.79865	0.100874
-0.3825	1.01818	-0.0132304	-0.0999999	0.732538	1.79864	0.100871
-0.3815	1.01817	-0.0132106	-0.0999999	0.732521	1.79863	0.100869
-0.3805	1.01815	-0.0131907	-0.0999999	0.732505	1.79862	0.100866
-0.3795	1.01813	-0.0131708	-0.0999999	0.732488	1.7986	0.100864
-0.3785	1.01812	-0.0131509	-0.0999999	0.732472	1.79859	0.100861
-0.3775	1.0181	-0.013131	-0.0999999	0.732455	1.79858	0.100858
-0.3765	1.01808	-0.0131111	-0.0999999	0.732438	1.79857	0.100856
-0.3755	1.01807	-0.0130912	-0.0999999	0.732421	1.79856	0.100853
-0.3745	1.01805	-0.0130713	-0.0999999	0.732405	1.79855	0.100851
