x	rho	u	v	p	e	uMax
-0.49875	1.01611	-0.0144628	-0.099842	0.730508	1.79732	0.100884
-0.49625	1.02128	-0.0177867	-0.0997294	0.735711	1.80095	0.101303
-0.49375	1.02185	-0.0180083	-0.099713	0.736273	1.80133	0.101326
-0.49125	1.0219	-0.0180139	-0.0997209	0.736328	1.80136	0.101335
-0.48875	1.02189	-0.0179861	-0.0997346	0.73631	1.80134	0.101343
-0.48625	1.02187	-0.0179505	-0.0997511	0.736279	1.80131	0.101353
-0.48375	1.02185	-0.0179175	-0.0997699	0.73625	1.80127	0.101366
-0.48125	1.02183	-0.0178848	-0.0997898	0.736221	1.80124	0.10138
-0.47875	1.0218	-0.0178521	-0.0998083	0.736192	1.80121	0.101392
-0.47625	1.02177	-0.0178193	-0.0998246	0.736163	1.80119	0.101403
-0.47375	1.02174	-0.0177865	-0.0998401	0.736133	1.80117	0.101412
-0.47125	1.02172	-0.0177535	-0.0998566	0.736104	1.80115	0.101423
-0.46875	1.02169	-0.0177203	-0.0998741	0.736075	1.80112	0.101434
-0.46625	1.02166	-0.0176871	-0.0998915	0.736047	1.8011	0.101445
-0.46375	1.02163	-0.0176538	-0.0999079	0.736019	1.80108	0.101456
-0.46125	1.02161	-0.0176204	-0.099923	0.735991	1.80106	0.101465
-0.45875	1.02158	-0.0175869	-0.0999364	0.735962	1.80104	0.101472
-0.45625	1.02155	-0.0175533	-0.0999481	0.735934	1.80102	0.101478
-0.45375	1.02152	-0.0175197	-0.0999583	0.735906	1.801	0.101482
-0.45125	1.0215	-0.017486	-0.0999669	0.735877	1.80098	0.101485
-0.44875	1.02147	-0.0174522	-0.0999741	0.735848	1.80096	0.101486
-0.44625	1.02144	-0.0174183	-0.09998	0.73582	1.80094	0.101486
-0.44375	1.02141	-0.0173843	-0.0999848	0.735791	1.80092	0.101485
-0.44125	1.02138	-0.0173503	-0.0999886	0.735761	1.8009	0.101483
-0.43875	1.02135	-0.0173162	-0.0999917	0.735732	1.80088	0.10148
-0.43625	1.02132	-0.017282	-0.0999943	0.735703	1.80086	0.101477
-0.43375	1.02129	-0.0172477	-0.0999963	0.735673	1.80084	0.101473
-0.43125	1.02126	-0.0172134	-0.0999977	0.735643	1.80081	0.101468
-0.42875	1.02124	-0.017179	-0.0999987	0.735614	1.80079	0.101464
-0.42625	1.02121	-0.0171445	-0.0999994	0.735584	1.80077	0.101458
-0.42375	1.02118	-0.01711	-0.0999998	0.735553	1.80075	0.101453
-0.42125	1.02115	-0.0170754	-0.1	0.735523	1.80073	0.101447
-0.41875	1.02112	-0.0170407	-0.1	0.735493	1.80071	0.101442
-0.41625	1.02109	-0.017006	-0.1	0.735462	1.80069	0.101436
-0.41375	1.02105	-0.0169712	-0.1	0.735432	1.80067	0.10143
-0.41125	1.02102	-0.0169363	-0.1	0.735401	1.80064	0.101424
-0.40875	1.02099	-0.0169013	-0.1	0.73537	1.80062	0.101418
-0.40625	1.02096	-0.0168663	-0.1	0.735339	1.8006	0.101412
-0.40375	1.02093	-0.0168312	-0.1	0.735308	1.80058	0.101407
-0.40125	1.0209	-0.016796	-0.1	0.735277	1.80056	0.101401
-0.39875	1.02087	-0.0167608	-0.1	0.735246	1.80054	0.101395
-0.39625	1.02084	-0.0167255	-0.0999999	0.735215	1.80051	0.101389
-0.39375	1.02081	-0.0166902	-0.0999999	0.735183	1.80049	0.101383
-0.39125	1.02078	-0.0166547	-0.0999999	0.735152	1.80047	0.101377
-0.38875	1.02075	-0.0166193	-0.0999998	0.73512	1.80045	0.101371
-0.38625	1.02071	-0.0165837	-0.0999998	0.735088	1.80043	0.101366
-0.38375	1.02068	-0.0165481	-0.0999998	0.735057	1.8004	0.10136
-0.38125	1.02065	-0.0165125	-0.0999998	0.735025	1.80038	0.101354
-0.37875	1.02062	-0.0164767	-0.0999998	0.734993	1.80036	0.101348
-0.37625	1.02059	-0.016441	-0.0999998	0.734961	1.80034	0.101342
-0.37375	1.02056	-0.0164052	-0.0999998	0.734928	1.80031	0.101337
-0.37125	1.02052	-0.0163693	-0.0999998	0.734896	1.80029	0.101331
-0.36875	1.02049	-0.0163333	-0.0999998	0.734864	1.80027	0.101325
-0.36625	1.02046	-0.0162974	-0.0999998	0.734831	1.80025	0.101319
-0.36375	1.02043	-0.0162613	-0.0999998	0.734799	1.80022	0.101313
-0.36125	1.02039	-0.0162252	-0.0999998	0.734766	1.8002	0.101308
-0.35875	1.02036	-0.0161891	-0.0999998	0.734733	1.80018	0.101302
-0.35625	1.02033	-0.0161529	-0.0999998	0.734701	1.80015	0.101296
-0.35375	1.0203	-0.0161166	-0.0999998	0.734668	1.80013	0.10129
