x	rho	u	v	p	e	uMax
-0.4995	0.999717	0.000263413	-0.0999994	0.714003	1.78551	0.0999998
-0.4985	0.99955	0.000399623	-0.0999978	0.713838	1.7854	0.0999986
-0.4975	0.999522	0.000417575	-0.0999958	0.71381	1.78538	0.0999967
-0.4965	0.999526	0.000409474	-0.0999936	0.713815	1.78538	0.0999944
-0.4955	0.99954	0.000393355	-0.0999908	0.713829	1.78539	0.0999916
-0.4945	0.999554	0.00037743	-0.0999881	0.713844	1.78541	0.0999888
-0.4935	0.999568	0.000362257	-0.0999858	0.713858	1.78542	0.0999865
-0.4925	0.999581	0.000346996	-0.0999839	0.713872	1.78543	0.0999845
-0.4915	0.999595	0.000331482	-0.0999823	0.713886	1.78544	0.0999828
-0.4905	0.99961	0.000315678	-0.0999808	0.7139	1.78545	0.0999813
-0.4895	0.999625	0.000299601	-0.0999794	0.713915	1.78546	0.0999798
-0.4885	0.99964	0.000283259	-0.0999784	0.71393	1.78547	0.0999788
-0.4875	0.999656	0.000266659	-0.0999778	0.713946	1.78548	0.0999781
-0.4865	0.999672	0.000249812	-0.0999776	0.713962	1.78549	0.0999779
-0.4855	0.999688	0.000232735	-0.0999777	0.713978	1.7855	0.0999779
-0.4845	0.999705	0.000215438	-0.099978	0.713994	1.78551	0.0999782
-0.4835	0.999722	0.000197927	-0.0999786	0.71401	1.78552	0.0999788
-0.4825	0.999739	0.000180207	-0.0999793	0.714027	1.78553	0.0999795
-0.4815	0.999756	0.000162289	-0.0999802	0.714044	1.78555	0.0999803
-0.4805	0.999773	0.000144182	-0.0999811	0.714061	1.78556	0.0999812
-0.4795	0.999791	0.000125888	-0.0999822	0.714079	1.78557	0.0999823
-0.4785	0.999809	0.000107408	-0.0999834	0.714097	1.78558	0.0999835
-0.4775	0.999827	8.8746e-05	-0.0999847	0.714115	1.7856	0.0999847
-0.4765	0.999845	6.99123e-05	-0.099986	0.714133	1.78561	0.099986
-0.4755	0.999864	5.09159e-05	-0.0999873	0.714152	1.78562	0.0999873
-0.4745	0.999883	3.17623e-05	-0.0999885	0.714171	1.78564	0.0999885
