x	y	rho	u	v	w	A11	A12	A13	A21	A22	A23	A31	A32	A33	omega	curlynorm	rho-rho0detA
-0.495 	0 	1.01817 	-0.0161295 	-0.0998536 	0	1.0061	-0.000585937	0	0.000605496	1.0058	0	0	0	1.00608	0.0105512	0.0405364	8.63486e-05

-0.485 	0 	1.02409 	-0.0206322 	-0.099789 	0	1.00796	-0.000953398	0	0.000967793	1.00785	0	0	0	1.00803	0.00205339	0.0121847	5.0006e-05

-0.475 	0 	1.02455 	-0.0209141 	-0.0998125 	0	1.00811	-0.00107972	0	0.0010852	1.0081	0	0	0	1.00812	-0.00306048	0.0016445	1.92913e-05

-0.465 	0 	1.02461 	-0.0209534 	-0.0998502 	0	1.00813	-0.00111431	0	0.00111678	1.00813	0	0	0	1.00814	-0.00357995	0.00025295	2.7155e-06

-0.455 	0 	1.02463 	-0.0209725 	-0.0998841 	0	1.00814	-0.00110689	0	0.0011092	1.00814	0	0	0	1.00814	-0.00312598	0.000304799	2.15107e-07

-0.445 	0 	1.02464 	-0.0209878 	-0.0999127 	0	1.00815	-0.00105606	0	0.00105803	1.00815	0	0	0	1.00815	-0.002691	0.000717991	8.2928e-09

-0.435 	0 	1.02465 	-0.0210006 	-0.0999379 	0	1.00815	-0.000966451	0	0.000966369	1.00815	0	0	0	1.00815	-0.00233583	0.000923437	-5.61116e-08

-0.425 	0 	1.02466 	-0.0210116 	-0.0999594 	0	1.00815	-0.000875294	0	0.000874166	1.00815	0	0	0	1.00815	-0.00187696	0.000842347	-1.66409e-07

-0.415 	0 	1.02466 	-0.0210212 	-0.0999755 	0	1.00815	-0.000801556	0	0.000800374	1.00815	0	0	0	1.00815	-0.00135043	0.000658695	-1.87557e-07

-0.405 	0 	1.02466 	-0.0210297 	-0.0999864 	0	1.00815	-0.000746353	0	0.000745302	1.00815	0	0	0	1.00815	-0.000886941	0.000479431	-1.63701e-07

-0.395 	0 	1.02466 	-0.0210371 	-0.0999932 	0	1.00815	-0.00070771	0	0.000706874	1.00815	0	0	0	1.00815	-0.000529601	0.000327548	-1.22477e-07

-0.385 	0 	1.02466 	-0.021043 	-0.099997 	0	1.00815	-0.000682257	0	0.000681656	1.00815	0	0	0	1.00815	-0.000282255	0.000212346	-6.73956e-08

-0.375 	0 	1.02465 	-0.0210474 	-0.0999989 	0	1.00815	-0.000666272	0	0.00066588	1.00815	0	0	0	1.00815	-0.000138727	0.000134948	-1.78552e-08

-0.365 	0 	1.02464 	-0.02105 	-0.0999998 	0	1.00815	-0.000656336	0	0.000656132	1.00815	0	0	0	1.00815	-6.12494e-05	8.96143e-05	-6.48197e-09

-0.355 	0 	1.02463 	-0.0210508 	-0.1 	0	1.00814	-0.000650133	0	0.00064999	1.00814	0	0	0	1.00814	3.34697e-06	6.73765e-05	7.72098e-10

-0.345 	0 	1.02462 	-0.02105 	-0.0999997 	0	1.00814	-0.000646513	0	0.000646408	1.00814	0	0	0	1.00814	4.54118e-05	6.17959e-05	-1.25057e-09

-0.335 	0 	1.0246 	-0.0210474 	-0.0999992 	0	1.00813	-0.000644874	0	0.000644801	1.00813	0	0	0	1.00813	4.9226e-05	6.73492e-05	-3.28821e-09

-0.325 	0 	1.02458 	-0.0210434 	-0.0999987 	0	1.00813	-0.000644591	0	0.000644518	1.00813	0	0	0	1.00813	1.28341e-05	7.67255e-05	4.60665e-09

-0.315 	0 	1.02455 	-0.0210387 	-0.0999989 	0	1.00812	-0.000645715	0	0.000645566	1.00812	0	0	0	1.00812	-8.08004e-05	8.82381e-05	1.05267e-08

-0.305 	0 	1.02453 	-0.021034 	-0.1 	0	1.00811	-0.000649813	0	0.000649489	1.00811	0	0	0	1.00811	-0.000198611	0.000115205	1.17402e-08

-0.295 	0 	1.0245 	-0.0210298 	-0.100003 	0	1.0081	-0.000660289	0	0.000659529	1.0081	0	0	0	1.0081	-0.000367866	0.000198207	4.71362e-09

-0.285 	0 	1.02448 	-0.021026 	-0.100008 	0	1.00809	-0.000684536	0	0.000683433	1.00809	0	0	0	1.00809	-0.000652413	0.000354361	-8.1603e-09

-0.275 	0 	1.02445 	-0.0210229 	-0.100016 	0	1.00808	-0.000727464	0	0.000726413	1.00808	0	0	0	1.00808	-0.000946591	0.00052667	2.28076e-08

-0.265 	0 	1.02442 	-0.0210202 	-0.100027 	0	1.00808	-0.00078608	0	0.000785699	1.00808	0	0	0	1.00808	-0.00114138	0.000614672	1.25013e-07

-0.255 	0 	1.02439 	-0.0210182 	-0.100039 	0	1.00807	-0.000846244	0	0.000846961	1.00807	0	0	0	1.00807	-0.00130435	0.000536868	3.31495e-07

-0.245 	0 	1.02436 	-0.0210171 	-0.100053 	0	1.00805	-0.000889009	0	0.000890491	1.00805	0	0	0	1.00806	-0.00156988	0.000328122	4.48253e-07

-0.235 	0 	1.02432 	-0.0210172 	-0.10007 	0	1.00804	-0.000906058	0	0.000907534	1.00804	0	0	0	1.00804	-0.00175002	0.000137703	1.86718e-07

-0.225 	0 	1.02428 	-0.0210189 	-0.100088 	0	1.00803	-0.000896916	0	0.000899968	1.00803	0	0	0	1.00803	-0.00139995	0.000404403	-4.92862e-07

