x	y	rho	u	v	w	A11	A12	A13	A21	A22	A23	A31	A32	A33	omega	curlynorm	rho-rho0detA
-0.4975 	0 	1.01282 	-0.0119196 	-0.0998906 	0	1.00625	-0.000706743	0	0.000738835	1.00314	0	0	0	1.00349	0.0233863	0.0585261	-0.000109392

-0.4925 	0 	1.0193 	-0.0155656 	-0.0997661 	0	1.00736	-0.00121298	0	0.00125992	1.00564	0	0	0	1.00618	0.0172121	0.0359136	-2.0845e-06

-0.4875 	0 	1.02083 	-0.0158951 	-0.0997185 	0	1.00722	-0.00135915	0	0.00139008	1.00659	0	0	0	1.00685	0.00573831	0.0132386	2.56276e-05

-0.4825 	0 	1.02133 	-0.0160237 	-0.0997088 	0	1.00719	-0.00138414	0	0.00140818	1.00694	0	0	0	1.00703	0.00078286	0.00471077	1.31449e-05

-0.4775 	0 	1.02151 	-0.0160939 	-0.0997107 	0	1.00719	-0.00135952	0	0.00138138	1.00706	0	0	0	1.0071	-0.00075734	0.00197949	5.54232e-06

-0.4725 	0 	1.02159 	-0.0161466 	-0.0997163 	0	1.0072	-0.00129132	0	0.00130963	1.00711	0	0	0	1.00712	-0.00129074	0.00179706	2.45015e-06

-0.4675 	0 	1.02163 	-0.0161934 	-0.0997236 	0	1.00721	-0.00119682	0	0.00121081	1.00713	0	0	0	1.00714	-0.00145847	0.00199739	9.11605e-07

-0.4625 	0 	1.02167 	-0.0162382 	-0.0997309 	0	1.00722	-0.0010973	0	0.0011074	1.00715	0	0	0	1.00715	-0.00131922	0.00198415	3.52466e-07

-0.4575 	0 	1.0217 	-0.016282 	-0.0997368 	0	1.00723	-0.00100228	0	0.00100891	1.00716	0	0	0	1.00716	-0.000953162	0.00187643	1.84561e-07

-0.4525 	0 	1.02173 	-0.0163254 	-0.0997404 	0	1.00724	-0.000913005	0	0.000916096	1.00717	0	0	0	1.00717	-0.000452775	0.00176944	1.49265e-07

-0.4475 	0 	1.02176 	-0.0163683 	-0.0997413 	0	1.00725	-0.00082846	0	0.000827922	1.00718	0	0	0	1.00718	8.57497e-05	0.00168861	1.55747e-07

-0.4425 	0 	1.02179 	-0.0164108 	-0.0997396 	0	1.00726	-0.000747142	0	0.000742913	1.00719	0	0	0	1.00719	0.000590817	0.00163952	1.73847e-07

-0.4375 	0 	1.02182 	-0.0164529 	-0.0997354 	0	1.00727	-0.000667416	0	0.000658987	1.0072	0	0	0	1.0072	0.00118137	0.00161893	1.8748e-07

-0.4325 	0 	1.02185 	-0.0164947 	-0.0997278 	0	1.00727	-0.000588082	0	0.000574814	1.00721	0	0	0	1.00721	0.00190328	0.00161921	1.92558e-07

-0.4275 	0 	1.02187 	-0.0165362 	-0.0997164 	0	1.00728	-0.000508261	0	0.000489842	1.00721	0	0	0	1.00722	0.00264182	0.00163903	1.9322e-07

-0.4225 	0 	1.0219 	-0.0165774 	-0.0997014 	0	1.00729	-0.000426884	0	0.00040296	1.00722	0	0	0	1.00723	0.00340787	0.0016825	1.92227e-07

-0.4175 	0 	1.02192 	-0.0166182 	-0.0996823 	0	1.0073	-0.000342663	0	0.000312767	1.00723	0	0	0	1.00723	0.00424952	0.00175262	1.90982e-07

-0.4125 	0 	1.02195 	-0.0166588 	-0.0996589 	0	1.00731	-0.000254236	0	0.000217851	1.00724	0	0	0	1.00724	0.00516291	0.00185063	1.89961e-07

-0.4075 	0 	1.02197 	-0.0166991 	-0.0996307 	0	1.00731	-0.000160198	0	0.00011677	1.00725	0	0	0	1.00725	0.00615286	0.0019775	1.89186e-07

-0.4025 	0 	1.02199 	-0.0167391 	-0.0995973 	0	1.00732	-5.90919e-05	0	8.02237e-06	1.00725	0	0	0	1.00726	0.00722516	0.00213445	1.88334e-07

-0.3975 	0 	1.02201 	-0.0167789 	-0.0995584 	0	1.00733	5.06111e-05	0	-0.000109979	1.00726	0	0	0	1.00726	0.00838693	0.00232296	1.86766e-07

-0.3925 	0 	1.02203 	-0.0168185 	-0.0995135 	0	1.00733	0.000170525	0	-0.000238907	1.00727	0	0	0	1.00727	0.00964593	0.00254461	1.84834e-07

-0.3875 	0 	1.02205 	-0.0168579 	-0.099462 	0	1.00734	0.000302345	0	-0.000380526	1.00728	0	0	0	1.00728	0.0110116	0.00280076	1.87329e-07

-0.3825 	0 	1.02207 	-0.016897 	-0.0994033 	0	1.00735	0.00044783	0	-0.000536654	1.00728	0	0	0	1.00729	0.0124945	0.00309234	2.0519e-07

-0.3775 	0 	1.02209 	-0.016936 	-0.099337 	0	1.00735	0.000608779	0	-0.000709114	1.00729	0	0	0	1.00729	0.0140976	0.00341936	1.92534e-07

-0.3725 	0 	1.02211 	-0.0169747 	-0.0992624 	0	1.00736	0.000786955	0	-0.000899942	1.00729	0	0	0	1.0073	0.0158294	0.00378956	1.66701e-07

-0.3675 	0 	1.02212 	-0.0170133 	-0.0991787 	0	1.00736	0.000984937	0	-0.00111149	1.0073	0	0	0	1.0073	0.0177116	0.00420664	1.83208e-07

-0.3625 	0 	1.02214 	-0.0170518 	-0.0990853 	0	1.00737	0.00120488	0	-0.00134616	1.0073	0	0	0	1.00731	0.0197538	0.00466984	1.95044e-07

-0.3575 	0 	1.02215 	-0.01709 	-0.0989812 	0	1.00737	0.0014493	0	-0.00160653	1.00731	0	0	0	1.00731	0.0219615	0.00518631	1.94307e-07

-0.3525 	0 	1.02217 	-0.0171281 	-0.0988656 	0	1.00737	0.00172111	0	-0.00189554	1.00731	0	0	0	1.00732	0.0243473	0.00576209	1.80939e-07

-0.3475 	0 	1.02219 	-0.017166 	-0.0987377 	0	1.00738	0.00202349	0	-0.00221648	1.00732	0	0	0	1.00732	0.0269168	0.00640068	1.79619e-07

-0.3425 	0 	1.0222 	-0.0172037 	-0.0985965 	0	1.00738	0.00235972	0	-0.00257272	1.00732	0	0	0	1.00733	0.029674	0.00710284	2.36245e-07

-0.3375 	0 	1.02221 	-0.0172414 	-0.098441 	0	1.00739	0.00273313	0	-0.0029677	1.00732	0	0	0	1.00733	0.0326322	0.00786933	4.01647e-07

-0.3325 	0 	1.02222 	-0.0172791 	-0.0982701 	0	1.00739	0.00314713	0	-0.00340492	1.00733	0	0	0	1.00733	0.0358124	0.00870443	3.07763e-07

-0.3275 	0 	1.02222 	-0.0173165 	-0.0980828 	0	1.00738	0.00360551	0	-0.00388824	1.00732	0	0	0	1.00733	0.0392313	0.00961473	6.06349e-08

-0.3225 	0 	1.02222 	-0.0173535 	-0.0978778 	0	1.00738	0.00411246	0	-0.0044219	1.00732	0	0	0	1.00733	0.0428947	0.010606	1.2404e-07

-0.3175 	0 	1.02222 	-0.0173903 	-0.0976539 	0	1.00738	0.00467246	0	-0.00501044	1.00732	0	0	0	1.00733	0.0468093	0.0116844	2.63309e-07

-0.3125 	0 	1.02222 	-0.0174268 	-0.0974097 	0	1.00737	0.00529042	0	-0.00565887	1.00732	0	0	0	1.00733	0.050986	0.0128571	2.72639e-07

-0.3075 	0 	1.02221 	-0.0174629 	-0.097144 	0	1.00737	0.0059717	0	-0.00637263	1.00731	0	0	0	1.00733	0.0554345	0.0141301	2.6387e-07

-0.3025 	0 	1.0222 	-0.0174987 	-0.0968554 	0	1.00736	0.00672197	0	-0.00715747	1.0073	0	0	0	1.00733	0.0601638	0.0155078	2.94408e-07

-0.2975 	0 	1.02219 	-0.0175339 	-0.0965424 	0	1.00735	0.00754721	0	-0.00801945	1.00729	0	0	0	1.00733	0.0651822	0.0169938	3.21193e-07

-0.2925 	0 	1.02217 	-0.0175686 	-0.0962036 	0	1.00733	0.00845371	0	-0.00896491	1.00728	0	0	0	1.00732	0.0704979	0.018592	3.51002e-07

-0.2875 	0 	1.02214 	-0.0176026 	-0.0958374 	0	1.00731	0.00944808	0	-0.0100005	1.00726	0	0	0	1.00731	0.0761201	0.0203064	3.85927e-07

-0.2825 	0 	1.0221 	-0.0176358 	-0.0954424 	0	1.00729	0.0105373	0	-0.0111333	1.00724	0	0	0	1.0073	0.0820565	0.0221419	4.27123e-07

-0.2775 	0 	1.02206 	-0.017668 	-0.0950169 	0	1.00726	0.0117288	0	-0.0123708	1.00721	0	0	0	1.00728	0.0883136	0.0241035	4.74712e-07

-0.2725 	0 	1.022 	-0.017699 	-0.0945592 	0	1.00722	0.0130305	0	-0.0137208	1.00718	0	0	0	1.00727	0.0948957	0.0261963	5.29347e-07

-0.2675 	0 	1.02193 	-0.0177286 	-0.0940679 	0	1.00717	0.0144508	0	-0.0151919	1.00713	0	0	0	1.00724	0.101802	0.0284242	5.92155e-07

-0.2625 	0 	1.02184 	-0.0177566 	-0.0935412 	0	1.00712	0.0159984	0	-0.0167929	1.00708	0	0	0	1.00722	0.109047	0.0307899	6.66967e-07

-0.2575 	0 	1.02174 	-0.0177825 	-0.0929774 	0	1.00705	0.0176826	0	-0.0185328	1.00702	0	0	0	1.00718	0.116652	0.0332931	7.76378e-07

-0.2525 	0 	1.02161 	-0.0178062 	-0.0923747 	0	1.00697	0.0195127	0	-0.0204207	1.00695	0	0	0	1.00714	0.124561	0.0359249	9.39859e-07

-0.2475 	0 	1.02145 	-0.0178272 	-0.0917318 	0	1.00687	0.0214978	0	-0.0224673	1.00686	0	0	0	1.00709	0.132755	0.038734	9.05872e-07

-0.2425 	0 	1.02127 	-0.0178451 	-0.0910471 	0	1.00676	0.023653	0	-0.0246852	1.00675	0	0	0	1.00704	0.141321	0.0417225	1.08146e-06

-0.2375 	0 	1.02105 	-0.0178592 	-0.0903186 	0	1.00662	0.0259884	0	-0.0270863	1.00662	0	0	0	1.00697	0.150244	0.0448454	1.2497e-06

-0.2325 	0 	1.02079 	-0.0178684 	-0.0895447 	0	1.00646	0.0285157	0	-0.0296816	1.00647	0	0	0	1.00688	0.159462	0.0481145	1.42124e-06

-0.2275 	0 	1.02048 	-0.0178737 	-0.088724 	0	1.00626	0.0312471	0	-0.0324834	1.00629	0	0	0	1.00678	0.168984	0.0515349	1.61117e-06

-0.2225 	0 	1.02012 	-0.0178739 	-0.0878549 	0	1.00603	0.0341959	0	-0.0355049	1.00607	0	0	0	1.00667	0.178813	0.0551072	1.82126e-06

-0.2175 	0 	1.01969 	-0.0178664 	-0.0869359 	0	1.00577	0.0373759	0	-0.0387598	1.00582	0	0	0	1.00653	0.188936	0.0588299	2.05624e-06

-0.2125 	0 	1.01918 	-0.0178518 	-0.0859655 	0	1.00545	0.0408014	0	-0.0422624	1.00552	0	0	0	1.00637	0.199338	0.0627001	2.31691e-06

-0.2075 	0 	1.01859 	-0.0178287 	-0.0849425 	0	1.00508	0.0444877	0	-0.0460279	1.00518	0	0	0	1.00618	0.210006	0.0667133	2.60202e-06

-0.2025 	0 	1.01791 	-0.0177961 	-0.0838655 	0	1.00465	0.0484504	0	-0.0500718	1.00477	0	0	0	1.00596	0.220924	0.0708631	2.91209e-06

-0.1975 	0 	1.01711 	-0.0177526 	-0.0827332 	0	1.00415	0.0527057	0	-0.0544103	1.0043	0	0	0	1.0057	0.232073	0.0751411	3.24692e-06

-0.1925 	0 	1.01618 	-0.0176968 	-0.0815447 	0	1.00357	0.0572704	0	-0.05906	1.00375	0	0	0	1.00541	0.243433	0.0795365	3.60502e-06

-0.1875 	0 	1.0151 	-0.0176272 	-0.0802989 	0	1.00289	0.0621617	0	-0.064038	1.00311	0	0	0	1.00506	0.254982	0.0840354	3.98366e-06

-0.1825 	0 	1.01386 	-0.0175422 	-0.0789949 	0	1.00211	0.0673971	0	-0.0693619	1.00236	0	0	0	1.00466	0.266697	0.0886207	4.37868e-06

-0.1775 	0 	1.01244 	-0.0174401 	-0.0776319 	0	1.00121	0.0729943	0	-0.0750492	1.0015	0	0	0	1.0042	0.278551	0.0932714	4.78437e-06

-0.1725 	0 	1.0108 	-0.0173188 	-0.0762094 	0	1.00017	0.078971	0	-0.0811176	1.00052	0	0	0	1.00367	0.290518	0.0979624	5.19342e-06

-0.1675 	0 	1.00892 	-0.0171765 	-0.0747268 	0	0.998982	0.0853448	0	-0.0875846	0.999378	0	0	0	1.00306	0.302567	0.102664	5.59672e-06

-0.1625 	0 	1.00679 	-0.0170111 	-0.0731837 	0	0.997618	0.0921327	0	-0.0944672	0.998074	0	0	0	1.00237	0.314668	0.10734	5.98285e-06

-0.1575 	0 	1.00436 	-0.0168204 	-0.0715801 	0	0.996061	0.099351	0	-0.101782	0.996583	0	0	0	1.00158	0.326789	0.111951	6.33816e-06

-0.1525 	0 	1.00161 	-0.0166023 	-0.0699158 	0	0.994288	0.107015	0	-0.109543	0.994884	0	0	0	1.00068	0.338898	0.116452	6.64763e-06

-0.1475 	0 	0.998522 	-0.0163546 	-0.0681911 	0	0.992277	0.115139	0	-0.117766	0.992954	0	0	0	0.99967	0.350957	0.120791	6.89597e-06

-0.1425 	0 	0.995055 	-0.0160752 	-0.0664063 	0	0.990003	0.123734	0	-0.126462	0.990768	0	0	0	0.998532	0.36292	0.124913	7.06633e-06

-0.1375 	0 	0.991185 	-0.0157623 	-0.0645619 	0	0.98744	0.13281	0	-0.135641	0.988302	0	0	0	0.997257	0.37479	0.128754	7.14384e-06

-0.1325 	0 	0.986886 	-0.0154138 	-0.0626584 	0	0.984563	0.142375	0	-0.145309	0.985531	0	0	0	0.995836	0.386593	0.132243	7.20368e-06

-0.1275 	0 	0.982136 	-0.0150281 	-0.060696 	0	0.981347	0.152431	0	-0.155469	0.982427	0	0	0	0.994258	0.398104	0.135287	8.08385e-06

-0.1225 	0 	0.976915 	-0.0146047 	-0.0586773 	0	0.977763	0.162977	0	-0.166125	0.978969	0	0	0	0.992518	0.409223	0.137924	5.2587e-06

-0.1175 	0 	0.971209 	-0.014143 	-0.0566038 	0	0.973787	0.174022	0	-0.177278	0.975125	0	0	0	0.990605	0.420207	0.140068	5.7449e-06

-0.1125 	0 	0.965013 	-0.0136423 	-0.0544753 	0	0.969395	0.185557	0	-0.188924	0.970874	0	0	0	0.988518	0.430979	0.141531	5.20066e-06

-0.1075 	0 	0.958339 	-0.0131034 	-0.052294 	0	0.96457	0.197568	0	-0.201048	0.966201	0	0	0	0.986257	0.44128	0.142265	4.41983e-06

-0.1025 	0 	0.951214 	-0.0125278 	-0.0500624 	0	0.9593	0.210039	0	-0.213633	0.961091	0	0	0	0.983828	0.451051	0.142188	3.53214e-06

-0.0975 	0 	0.943676 	-0.0119179 	-0.0477835 	0	0.95358	0.222944	0	-0.226656	0.955536	0	0	0	0.981244	0.460166	0.141182	2.46083e-06

-0.0925 	0 	0.935772 	-0.0112779 	-0.0454608 	0	0.947411	0.236243	0	-0.240076	0.949534	0	0	0	0.978516	0.468159	0.13906	9.90584e-07

-0.0875 	0 	0.927548 	-0.0106143 	-0.0431019 	0	0.940809	0.249868	0	-0.253829	0.943097	0	0	0	0.975651	0.473978	0.135492	-2.05245e-06

-0.0825 	0 	0.919052 	-0.00993845 	-0.040721 	0	0.933809	0.263693	0	-0.267793	0.936259	0	0	0	0.972655	0.477372	0.129948	-1.11851e-05

-0.0775 	0 	0.91038 	-0.00926101 	-0.0383282 	0	0.92649	0.277493	0	-0.281737	0.929101	0	0	0	0.969563	0.479859	0.122255	-2.28112e-05

-0.0725 	0 	0.901733 	-0.00858597 	-0.0359224 	0	0.91897	0.29105	0	-0.295434	0.921742	0	0	0	0.966472	0.482351	0.112892	-2.29698e-05

-0.0675 	0 	0.893304 	-0.00791464 	-0.0335046 	0	0.911381	0.304205	0	-0.308728	0.914312	0	0	0	0.963454	0.484532	0.102365	-1.33828e-05

-0.0625 	0 	0.885211 	-0.00725021 	-0.0310771 	0	0.903858	0.316804	0	-0.321462	0.906944	0	0	0	0.960536	0.486373	0.0910584	-7.2461e-06

-0.0575 	0 	0.877568 	-0.00659625 	-0.0286409 	0	0.896524	0.328714	0	-0.3335	0.899757	0	0	0	0.957758	0.488016	0.079371	-6.28175e-06

-0.0525 	0 	0.870472 	-0.00595664 	-0.026197 	0	0.889493	0.339818	0	-0.344726	0.892864	0	0	0	0.955163	0.489494	0.0676448	-6.10188e-06

-0.0475 	0 	0.864003 	-0.0053336 	-0.023746 	0	0.882876	0.350013	0	-0.355036	0.886374	0	0	0	0.952785	0.490874	0.0561816	-5.9873e-06

-0.0425 	0 	0.858216 	-0.00472807 	-0.0212882 	0	0.876774	0.359214	0	-0.364341	0.880386	0	0	0	0.950648	0.492248	0.0452667	-5.83278e-06

-0.0375 	0 	0.853151 	-0.00413986 	-0.0188235 	0	0.871277	0.36735	0	-0.372571	0.874991	0	0	0	0.94877	0.493718	0.0351601	-5.63053e-06

-0.0325 	0 	0.848828 	-0.00356769 	-0.016351 	0	0.866459	0.374371	0	-0.379673	0.870262	0	0	0	0.947163	0.495386	0.0260904	-5.376e-06

-0.0275 	0 	0.845252 	-0.00300913 	-0.0138696 	0	0.862374	0.380247	0	-0.385616	0.866255	0	0	0	0.945832	0.497382	0.0182474	-5.07142e-06

-0.0225 	0 	0.842412 	-0.00246055 	-0.0113772 	0	0.859054	0.384971	0	-0.390392	0.863003	0	0	0	0.944778	0.499925	0.0117758	-4.77498e-06

-0.0175 	0 	0.840282 	-0.00191707 	-0.00887037 	0	0.856506	0.388567	0	-0.394021	0.860513	0	0	0	0.943995	0.503098	0.0067639	-4.65368e-06

-0.0125 	0 	0.838811 	-0.00137345 	-0.00634623 	0	0.854707	0.391092	0	-0.396563	0.858759	0	0	0	0.943466	0.507123	0.00323048	-4.95415e-06

-0.0075 	0 	0.837924 	-0.000824822 	-0.00379914 	0	0.853594	0.39265	0	-0.398121	0.857676	0	0	0	0.943159	0.512974	0.00109627	-5.65657e-06

-0.0025 	0 	0.837506 	-0.000265972 	-0.00121649 	0	0.853063	0.393405	0	-0.39886	0.85715	0	0	0	0.94302	0.518917	0.000145384	-5.51035e-06

0.0025 	0 	0.837398 	0.000300776 	0.00139003 	0	0.852931	0.393607	0	-0.399046	0.857008	0	0	0	0.942982	0.517588	1.28353e-05	-4.32988e-06

0.0075 	0 	0.83752 	0.000854368 	0.00395939 	0	0.853113	0.393328	0	-0.398801	0.857197	0	0	0	0.943007	0.50595	0.000773518	-7.8987e-06

0.0125 	0 	0.838139 	0.00137693 	0.00644953 	0	0.854023	0.392026	0	-0.39756	0.85808	0	0	0	0.943142	0.493169	0.00339479	-6.69674e-06

0.0175 	0 	0.839792 	0.00187764 	0.00889107 	0	0.856126	0.389089	0	-0.394615	0.860114	0	0	0	0.943691	0.489342	0.00828999	-4.47206e-06

0.0225 	0 	0.842597 	0.00238793 	0.0113429 	0	0.859368	0.384548	0	-0.389996	0.863294	0	0	0	0.944774	0.492722	0.0147827	-8.66968e-06

0.0275 	0 	0.846305 	0.00292315 	0.0138183 	0	0.863537	0.37864	0	-0.384002	0.867406	0	0	0	0.946202	0.496235	0.0224091	-1.13989e-05

0.0325 	0 	0.850795 	0.00348488 	0.0163053 	0	0.868505	0.371503	0	-0.376775	0.872301	0	0	0	0.947898	0.497825	0.0310421	-1.14474e-05

0.0375 	0 	0.855989 	0.00407045 	0.0187965 	0	0.87415	0.363249	0	-0.368424	0.877854	0	0	0	0.949838	0.498427	0.040491	-1.09558e-05

0.0425 	0 	0.861821 	0.00467813 	0.0212896 	0	0.880351	0.353985	0	-0.359055	0.883947	0	0	0	0.952002	0.498567	0.0505284	-1.07508e-05

0.0475 	0 	0.868224 	0.00530654 	0.0237822 	0	0.88699	0.343823	0	-0.348781	0.890465	0	0	0	0.954365	0.498252	0.060904	-1.06775e-05

0.0525 	0 	0.875124 	0.00595373 	0.0262721 	0	0.893951	0.33288	0	-0.33772	0.897294	0	0	0	0.956894	0.497439	0.0713577	-1.06261e-05

0.0575 	0 	0.882441 	0.00661635 	0.0287566 	0	0.901124	0.321279	0	-0.325998	0.904327	0	0	0	0.959556	0.496089	0.0816209	-1.19691e-05

0.0625 	0 	0.890094 	0.00729007 	0.031233 	0	0.908403	0.309152	0	-0.313744	0.911459	0	0	0	0.962319	0.494084	0.0914002	-1.88089e-05

0.0675 	0 	0.898001 	0.00797228 	0.0336974 	0	0.915675	0.296635	0	-0.301098	0.918581	0	0	0	0.965163	0.491237	0.100429	-2.38699e-05

0.0725 	0 	0.906071 	0.00865904 	0.0361453 	0	0.922844	0.283862	0	-0.288196	0.925594	0	0	0	0.96806	0.487548	0.10853	-2.00693e-05

0.0775 	0 	0.914187 	0.00934826 	0.0385729 	0	0.929831	0.270957	0	-0.275164	0.932417	0	0	0	0.970951	0.483023	0.115513	-1.03528e-05

0.0825 	0 	0.922234 	0.010031 	0.0409756 	0	0.936565	0.258054	0	-0.262139	0.938981	0	0	0	0.973787	0.47729	0.121297	-2.45611e-06

0.0875 	0 	0.930135 	0.010699 	0.0433458 	0	0.942992	0.245254	0	-0.249219	0.945237	0	0	0	0.976548	0.47022	0.126057	4.95522e-08

0.0925 	0 	0.937831 	0.0113455 	0.0456778 	0	0.949084	0.232614	0	-0.23646	0.951158	0	0	0	0.979217	0.462311	0.129911	1.64257e-06

0.0975 	0 	0.945263 	0.0119662 	0.0479689 	0	0.954818	0.220189	0	-0.223917	0.956726	0	0	0	0.981779	0.453907	0.132839	2.93985e-06

0.1025 	0 	0.95238 	0.0125575 	0.0502168 	0	0.96018	0.208027	0	-0.211639	0.961926	0	0	0	0.984217	0.445014	0.134846	4.01099e-06

0.1075 	0 	0.959141 	0.0131162 	0.0524191 	0	0.965162	0.196173	0	-0.19967	0.966753	0	0	0	0.986519	0.435625	0.135954	4.84279e-06

0.1125 	0 	0.965512 	0.01364 	0.0545731 	0	0.969763	0.184665	0	-0.188049	0.971205	0	0	0	0.988675	0.425892	0.136206	5.44801e-06

0.1175 	0 	0.971468 	0.0141278 	0.056678 	0	0.973987	0.173536	0	-0.176808	0.975288	0	0	0	0.990682	0.41586	0.135661	6.00026e-06

0.1225 	0 	0.976998 	0.0145786 	0.0587317 	0	0.977842	0.162811	0	-0.165972	0.979011	0	0	0	0.992534	0.405244	0.134393	7.02987e-06

0.1275 	0 	0.982092 	0.0149917 	0.0607304 	0	0.981341	0.152511	0	-0.155566	0.982389	0	0	0	0.994233	0.394234	0.132398	4.73371e-06

0.1325 	0 	0.986754 	0.0153678 	0.062674 	0	0.984499	0.142658	0	-0.145606	0.985432	0	0	0	0.995781	0.383145	0.129807	5.69003e-06

