x	rho	u	v	p	e	uMax
-0.495	1.0108	-0.0100316	-0.099925	0.72517	1.79355	0.100427
-0.485	1.01887	-0.0161208	-0.0998323	0.733281	1.79925	0.101125
-0.475	1.02116	-0.0173537	-0.0997831	0.735569	1.80082	0.101281
-0.465	1.02187	-0.0176962	-0.099754	0.736278	1.8013	0.101311
-0.455	1.02215	-0.017867	-0.0997335	0.736552	1.80148	0.101321
-0.445	1.02229	-0.0179865	-0.0997121	0.736687	1.80157	0.101321
-0.435	1.02238	-0.0180882	-0.0996767	0.736776	1.80162	0.101305
-0.425	1.02245	-0.0181831	-0.099624	0.736849	1.80167	0.10127
-0.415	1.02251	-0.0182748	-0.0995546	0.736915	1.80172	0.101218
-0.405	1.02257	-0.0183645	-0.0994639	0.736977	1.80177	0.101145
-0.395	1.02263	-0.0184525	-0.0993472	0.737035	1.80181	0.101046
-0.385	1.02269	-0.0185389	-0.0991998	0.73709	1.80184	0.100917
-0.375	1.02275	-0.0186236	-0.0990165	0.737143	1.80187	0.100753
-0.365	1.0228	-0.0187064	-0.0987918	0.737193	1.80189	0.100547
-0.355	1.02285	-0.0187882	-0.0985192	0.737238	1.80192	0.100295
-0.345	1.02288	-0.0188707	-0.0981916	0.737278	1.80196	0.0999884
-0.335	1.0229	-0.0189539	-0.0978005	0.737314	1.80203	0.0996202
-0.325	1.0229	-0.0190344	-0.0973364	0.737353	1.80212	0.09918
-0.315	1.02289	-0.0191101	-0.0967897	0.737395	1.80223	0.0986582
-0.305	1.02287	-0.0191814	-0.096151	0.737431	1.80237	0.0980456
-0.295	1.02281	-0.0192489	-0.0954094	0.73746	1.80253	0.0973318
-0.285	1.02272	-0.0193116	-0.0945535	0.737488	1.80276	0.0965055
-0.275	1.02257	-0.0193679	-0.0935719	0.737513	1.80309	0.0955553
-0.265	1.02235	-0.0194143	-0.0924525	0.737539	1.80355	0.094469
-0.255	1.02202	-0.0194452	-0.0911834	0.737568	1.80419	0.0932337
-0.245	1.02157	-0.019461	-0.0897525	0.737602	1.80507	0.0918381
-0.235	1.02092	-0.0194631	-0.088149	0.737636	1.80629	0.0902721
-0.225	1.02003	-0.0194338	-0.0863607	0.737671	1.80796	0.0885203
-0.215	1.01881	-0.0193612	-0.0843743	0.737709	1.81022	0.0865672
-0.205	1.01716	-0.0192433	-0.0821775	0.737756	1.81328	0.0844005
-0.195	1.01492	-0.0190657	-0.0797588	0.737811	1.81741	0.0820059
-0.185	1.0119	-0.018812	-0.0771083	0.737876	1.823	0.0793699
-0.175	1.00783	-0.0184653	-0.0742192	0.737947	1.83053	0.0764817
-0.165	1.0024	-0.0180087	-0.0710901	0.738023	1.84064	0.0733357
-0.155	0.995247	-0.0174277	-0.0677283	0.738103	1.85407	0.0699346
-0.145	0.98605	-0.016714	-0.0641536	0.738188	1.87158	0.0662952
-0.135	0.974663	-0.015861	-0.0604026	0.738289	1.8937	0.0624504
-0.125	0.96128	-0.0148617	-0.0565251	0.73841	1.92038	0.0584462
-0.115	0.946541	-0.0137474	-0.0525702	0.738403	1.95027	0.054338
-0.105	0.931573	-0.0126072	-0.0485389	0.738351	1.98146	0.0501494
-0.095	0.917366	-0.0114573	-0.0444015	0.738419	2.01233	0.0458559
-0.085	0.904404	-0.0102743	-0.0401479	0.738498	2.04139	0.0414418
-0.075	0.892994	-0.00906413	-0.0357766	0.738543	2.0676	0.0369069
-0.065	0.883321	-0.00784255	-0.0312873	0.738559	2.09029	0.0322552
-0.055	0.875453	-0.00662104	-0.0266809	0.738559	2.10908	0.0274902
-0.045	0.869356	-0.00540292	-0.0219623	0.738559	2.12387	0.0226171
-0.035	0.864923	-0.00418383	-0.0171433	0.738574	2.1348	0.0176464
-0.025	0.861977	-0.00295532	-0.0122314	0.738607	2.14219	0.0125834
-0.015	0.860283	-0.00170625	-0.00721852	0.738653	2.14654	0.00741744
-0.005	0.859537	-0.000427588	-0.00210792	0.738694	2.14852	0.00215085
0.005	0.859363	0.000851439	0.00300941	0.738705	2.14899	0.00312754
0.015	0.85962	0.0020735	0.00800389	0.738656	2.1482	0.00826812
0.025	0.860767	0.00321551	0.0128266	0.73845	2.14475	0.0132235
0.035	0.864505	0.00430324	0.0175022	0.738308	2.13506	0.0180234
0.045	0.871659	0.00540314	0.0221049	0.738431	2.11789	0.0227556
0.055	0.881402	0.00657136	0.0267055	0.73861	2.09498	0.0275021
0.065	0.893102	0.00782038	0.0313154	0.738749	2.06793	0.0322771
0.075	0.906196	0.00914195	0.0359067	0.738866	2.03837	0.0370522
0.085	0.920076	0.010529	0.0404535	0.739017	2.00803	0.0418012
0.095	0.933913	0.0119143	0.0449229	0.739077	1.97844	0.046476
0.105	0.947068	0.0132082	0.0492586	0.739004	1.95077	0.0509987
0.115	0.959282	0.014374	0.0534201	0.738894	1.92564	0.0553202
0.125	0.970357	0.0153973	0.0573959	0.738762	1.90332	0.0594253
0.135	0.98017	0.01627	0.0611748	0.738623	1.88392	0.0633014
0.145	0.988671	0.016994	0.0647494	0.738488	1.86738	0.0669424
0.155	0.995881	0.0175802	0.0681171	0.73837	1.85356	0.0703491
0.165	1.00188	0.0180429	0.0712757	0.738269	1.84221	0.073524
0.175	1.00678	0.0183984	0.0742239	0.738187	1.83304	0.0764702
0.185	1.01071	0.0186631	0.0769624	0.738123	1.82575	0.079193
0.195	1.01383	0.0188527	0.0794936	0.738073	1.82001	0.0816986
0.205	1.01626	0.0189814	0.0818217	0.738036	1.81557	0.0839945
0.215	1.01813	0.0190607	0.0839521	0.738007	1.81216	0.0860887
0.225	1.01955	0.0190983	0.0858921	0.737982	1.80957	0.0879897
0.235	1.02062	0.0191025	0.0876501	0.73796	1.80762	0.0897075
