x	rho	u	v	p	e	uMax
-0.4975	1.01282	-0.0119196	-0.0998906	0.727181	1.79495	0.100599
-0.4925	1.0193	-0.0155656	-0.0997661	0.7337	1.79951	0.100973
-0.4875	1.02083	-0.0158951	-0.0997185	0.735228	1.80057	0.100977
-0.4825	1.02133	-0.0160237	-0.0997088	0.735723	1.8009	0.100988
-0.4775	1.02151	-0.0160939	-0.0997107	0.7359	1.80102	0.101001
-0.4725	1.02159	-0.0161466	-0.0997163	0.735978	1.80106	0.101015
-0.4675	1.02163	-0.0161934	-0.0997236	0.736023	1.80109	0.10103
-0.4625	1.02167	-0.0162382	-0.0997309	0.736058	1.80111	0.101044
-0.4575	1.0217	-0.016282	-0.0997368	0.73609	1.80113	0.101057
-0.4525	1.02173	-0.0163254	-0.0997404	0.73612	1.80115	0.101068
-0.4475	1.02176	-0.0163683	-0.0997413	0.73615	1.80117	0.101075
-0.4425	1.02179	-0.0164108	-0.0997396	0.736178	1.80119	0.101081
-0.4375	1.02182	-0.0164529	-0.0997354	0.736205	1.80121	0.101083
-0.4325	1.02185	-0.0164947	-0.0997278	0.736232	1.80123	0.101083
-0.4275	1.02187	-0.0165362	-0.0997164	0.736258	1.80125	0.101078
-0.4225	1.0219	-0.0165774	-0.0997014	0.736284	1.80127	0.10107
-0.4175	1.02192	-0.0166182	-0.0996823	0.736308	1.80128	0.101058
-0.4125	1.02195	-0.0166588	-0.0996589	0.736332	1.8013	0.101042
-0.4075	1.02197	-0.0166991	-0.0996307	0.736355	1.80132	0.10102
-0.4025	1.02199	-0.0167391	-0.0995973	0.736378	1.80133	0.100994
-0.3975	1.02201	-0.0167789	-0.0995584	0.7364	1.80135	0.100962
-0.3925	1.02203	-0.0168185	-0.0995135	0.736421	1.80136	0.100925
-0.3875	1.02205	-0.0168579	-0.099462	0.736441	1.80137	0.10088
-0.3825	1.02207	-0.016897	-0.0994033	0.736461	1.80139	0.100829
-0.3775	1.02209	-0.016936	-0.099337	0.73648	1.8014	0.10077
-0.3725	1.02211	-0.0169747	-0.0992624	0.736499	1.80142	0.100703
-0.3675	1.02212	-0.0170133	-0.0991787	0.736516	1.80144	0.100627
-0.3625	1.02214	-0.0170518	-0.0990853	0.736534	1.80145	0.100542
-0.3575	1.02215	-0.01709	-0.0989812	0.73655	1.80146	0.100446
-0.3525	1.02217	-0.0171281	-0.0988656	0.736566	1.80148	0.100338
-0.3475	1.02219	-0.017166	-0.0987377	0.736581	1.80148	0.100219
-0.3425	1.0222	-0.0172037	-0.0985965	0.736595	1.80149	0.100086
-0.3375	1.02221	-0.0172414	-0.098441	0.736608	1.8015	0.0999394
-0.3325	1.02222	-0.0172791	-0.0982701	0.73662	1.80153	0.0997777
-0.3275	1.02222	-0.0173165	-0.0980828	0.736633	1.80155	0.0995997
-0.3225	1.02222	-0.0173535	-0.0978778	0.736645	1.80158	0.0994043
-0.3175	1.02222	-0.0173903	-0.0976539	0.736656	1.80161	0.0991903
-0.3125	1.02222	-0.0174268	-0.0974097	0.736667	1.80164	0.0989563
-0.3075	1.02221	-0.0174629	-0.097144	0.736676	1.80167	0.0987012
-0.3025	1.0222	-0.0174987	-0.0968554	0.736685	1.80171	0.0984234
-0.2975	1.02219	-0.0175339	-0.0965424	0.736694	1.80176	0.0981217
-0.2925	1.02217	-0.0175686	-0.0962036	0.736701	1.80181	0.0977946
-0.2875	1.02214	-0.0176026	-0.0958374	0.736709	1.80188	0.0974406
-0.2825	1.0221	-0.0176358	-0.0954424	0.736716	1.80196	0.0970581
-0.2775	1.02206	-0.017668	-0.0950169	0.736722	1.80206	0.0966455
-0.2725	1.022	-0.017699	-0.0945592	0.736728	1.80217	0.0962014
-0.2675	1.02193	-0.0177286	-0.0940679	0.736733	1.80231	0.0957239
-0.2625	1.02184	-0.0177566	-0.0935412	0.736739	1.80248	0.0952116
-0.2575	1.02174	-0.0177825	-0.0929774	0.736744	1.80268	0.0946627
-0.2525	1.02161	-0.0178062	-0.0923747	0.736749	1.80291	0.0940752
-0.2475	1.02145	-0.0178272	-0.0917318	0.736754	1.8032	0.093448
-0.2425	1.02127	-0.0178451	-0.0910471	0.736759	1.80353	0.0927795
-0.2375	1.02105	-0.0178592	-0.0903186	0.736764	1.80393	0.0920674
-0.2325	1.02079	-0.0178684	-0.0895447	0.736769	1.80441	0.0913101
-0.2275	1.02048	-0.0178737	-0.088724	0.736776	1.80497	0.0905064
-0.2225	1.02012	-0.0178739	-0.0878549	0.736782	1.80563	0.0896546
-0.2175	1.01969	-0.0178664	-0.0869359	0.73679	1.80641	0.0887528
-0.2125	1.01918	-0.0178518	-0.0859655	0.736798	1.80732	0.0877995
-0.2075	1.01859	-0.0178287	-0.0849425	0.736808	1.80839	0.0867934
-0.2025	1.01791	-0.0177961	-0.0838655	0.736819	1.80964	0.0857328
-0.1975	1.01711	-0.0177526	-0.0827332	0.736832	1.8111	0.0846164
-0.1925	1.01618	-0.0176968	-0.0815447	0.736847	1.81279	0.0834429
-0.1875	1.0151	-0.0176272	-0.0802989	0.736864	1.81475	0.0822109
-0.1825	1.01386	-0.0175422	-0.0789949	0.736884	1.81702	0.0809193
-0.1775	1.01244	-0.0174401	-0.0776319	0.736906	1.81964	0.0795668
-0.1725	1.0108	-0.0173188	-0.0762094	0.736932	1.82265	0.0781525
-0.1675	1.00892	-0.0171765	-0.0747268	0.73696	1.82611	0.0766754
-0.1625	1.00679	-0.0170111	-0.0731837	0.736993	1.83006	0.0751348
-0.1575	1.00436	-0.0168204	-0.0715801	0.737028	1.83457	0.0735298
-0.1525	1.00161	-0.0166023	-0.0699158	0.737068	1.8397	0.07186
-0.1475	0.998522	-0.0163546	-0.0681911	0.737111	1.8455	0.0701249
-0.1425	0.995055	-0.0160752	-0.0664063	0.737157	1.85205	0.0683243
-0.1375	0.991185	-0.0157623	-0.0645619	0.737207	1.85941	0.0664582
-0.1325	0.986886	-0.0154138	-0.0626584	0.73726	1.86764	0.0645264
-0.1275	0.982136	-0.0150281	-0.060696	0.737316	1.87682	0.0625288
-0.1225	0.976915	-0.0146047	-0.0586773	0.737371	1.88699	0.0604676
-0.1175	0.971209	-0.014143	-0.0566038	0.737429	1.89822	0.0583439
-0.1125	0.965013	-0.0136423	-0.0544753	0.737485	1.91056	0.0561575
-0.1075	0.958339	-0.0131034	-0.052294	0.73754	1.92401	0.0539107
-0.1025	0.951214	-0.0125278	-0.0500624	0.737591	1.93855	0.0516061
-0.0975	0.943676	-0.0119179	-0.0477835	0.737635	1.95415	0.0492473
-0.0925	0.935772	-0.0112779	-0.0454608	0.737667	1.97075	0.0468388
-0.0875	0.927548	-0.0106143	-0.0431019	0.737678	1.98825	0.0443896
-0.0825	0.919052	-0.00993845	-0.040721	0.737655	2.00657	0.0419163
-0.0775	0.91038	-0.00926101	-0.0383282	0.737614	2.02556	0.0394311
-0.0725	0.901733	-0.00858597	-0.0359224	0.737582	2.0449	0.0369343
-0.0675	0.893304	-0.00791464	-0.0335046	0.737564	2.06415	0.0344268
-0.0625	0.885211	-0.00725021	-0.0310771	0.737541	2.08295	0.0319116
-0.0575	0.877568	-0.00659625	-0.0286409	0.737511	2.10101	0.0293907
-0.0525	0.870472	-0.00595664	-0.026197	0.737476	2.11803	0.0268656
-0.0475	0.864003	-0.0053336	-0.023746	0.737439	2.13379	0.0243376
-0.0425	0.858216	-0.00472807	-0.0212882	0.737403	2.14807	0.0218069
-0.0375	0.853151	-0.00413986	-0.0188235	0.73737	2.16073	0.0192733
-0.0325	0.848828	-0.00356769	-0.016351	0.737342	2.17165	0.0167357
-0.0275	0.845252	-0.00300913	-0.0138696	0.737322	2.18078	0.0141923
-0.0225	0.842412	-0.00246055	-0.0113772	0.737314	2.1881	0.0116402
-0.0175	0.840282	-0.00191707	-0.00887037	0.737321	2.19367	0.00907516
-0.0125	0.838811	-0.00137345	-0.00634623	0.737343	2.19758	0.00649315
-0.0075	0.837924	-0.000824822	-0.00379914	0.737373	2.2	0.00388764
-0.0025	0.837506	-0.000265972	-0.00121649	0.737397	2.20117	0.00124523
0.0025	0.837398	0.000300776	0.00139003	0.737404	2.20147	0.0014222
0.0075	0.83752	0.000854368	0.00395939	0.73737	2.20105	0.00405052
0.0125	0.838139	0.00137693	0.00644953	0.73725	2.19907	0.00659488
0.0175	0.839792	0.00187764	0.00889107	0.737176	2.19452	0.00908717
0.0225	0.842597	0.00238793	0.0113429	0.737233	2.18738	0.0115916
0.0275	0.846305	0.00292315	0.0138183	0.737314	2.17804	0.0141241
0.0325	0.850795	0.00348488	0.0163053	0.737382	2.16675	0.0166735
0.0375	0.855989	0.00407045	0.0187965	0.737439	2.15376	0.0192322
0.0425	0.861821	0.00467813	0.0212896	0.737491	2.13934	0.0217975
0.0475	0.868224	0.00530654	0.0237822	0.737541	2.12371	0.024367
0.0525	0.875124	0.00595373	0.0262721	0.737587	2.10709	0.0269382
0.0575	0.882441	0.00661635	0.0287566	0.737625	2.08973	0.0295079
0.0625	0.890094	0.00729007	0.031233	0.737656	2.07185	0.0320725
0.0675	0.898001	0.00797228	0.0336974	0.737688	2.0537	0.0346277
0.0725	0.906071	0.00865904	0.0361453	0.737728	2.03552	0.0371681
0.0775	0.914187	0.00934826	0.0385729	0.737755	2.01752	0.0396895
0.0825	0.922234	0.010031	0.0409756	0.737753	1.99991	0.0421855
0.0875	0.930135	0.010699	0.0433458	0.737735	1.98287	0.0446467
0.0925	0.937831	0.0113455	0.0456778	0.737705	1.96652	0.0470657
0.0975	0.945263	0.0119662	0.0479689	0.737667	1.95096	0.0494389
0.1025	0.95238	0.0125575	0.0502168	0.737621	1.93626	0.0517631
0.1075	0.959141	0.0131162	0.0524191	0.737571	1.92248	0.0540351
0.1125	0.965512	0.01364	0.0545731	0.737517	1.90965	0.0562519
0.1175	0.971468	0.0141278	0.056678	0.73746	1.8978	0.0584122
0.1225	0.976998	0.0145786	0.0587317	0.737404	1.88691	0.060514
0.1275	0.982092	0.0149917	0.0607304	0.737347	1.87698	0.0625535
0.1325	0.986754	0.0153678	0.062674	0.737293	1.86798	0.0645306
0.1375	0.990993	0.0157082	0.0645619	0.737241	1.85985	0.0664453
0.1425	0.994827	0.0160141	0.0663925	0.737193	1.85257	0.0682965
0.1475	0.998275	0.0162871	0.068165	0.737148	1.84605	0.0700838
0.1525	1.00136	0.0165292	0.0698787	0.737107	1.84026	0.071807
0.1575	1.00411	0.0167423	0.0715333	0.73707	1.83514	0.0734664
0.1625	1.00654	0.0169285	0.0731284	0.737037	1.83061	0.0750622
0.1675	1.0087	0.01709	0.0746639	0.737008	1.82664	0.0765948
0.1725	1.01059	0.0172289	0.0761401	0.736982	1.82315	0.078065
0.1775	1.01225	0.0173471	0.0775571	0.73696	1.82011	0.0794734
0.1825	1.0137	0.0174466	0.0789154	0.736941	1.81745	0.0808209
0.1875	1.01496	0.0175293	0.0802155	0.736924	1.81515	0.0821085
0.1925	1.01606	0.0175968	0.0814582	0.73691	1.81316	0.0833372
0.1975	1.01701	0.0176508	0.0826443	0.736898	1.81143	0.0845082
0.2025	1.01783	0.0176927	0.0837748	0.736888	1.80995	0.0856227
0.2075	1.01854	0.0177239	0.0848506	0.73688	1.80867	0.0866819
0.2125	1.01914	0.0177456	0.0858729	0.736873	1.80758	0.0876873
0.2175	1.01966	0.017759	0.0868431	0.736867	1.80664	0.0886403
0.2225	1.02011	0.017765	0.0877623	0.736862	1.80584	0.0895422
0.2275	1.02048	0.017764	0.088632	0.736858	1.80517	0.0903946
0.2325	1.02081	0.0177584	0.0894536	0.736854	1.80459	0.0911993
0.2375	1.02108	0.0177483	0.0902286	0.736851	1.8041	0.0919577
0.2425	1.02131	0.0177329	0.0909589	0.736848	1.80369	0.0926713
0.2475	1.0215	0.0177143	0.0916459	0.736845	1.80334	0.0933422
0.2525	1.02166	0.0176925	0.0922905	0.736842	1.80305	0.0939711
0.2575	1.0218	0.017668	0.092895	0.736839	1.8028	0.0945602
0.2625	1.02191	0.0176412	0.093461	0.736836	1.80259	0.0951114
0.2675	1.022	0.0176125	0.0939902	0.736833	1.80242	0.0956261
0.2725	1.02208	0.0175821	0.0944841	0.736829	1.80228	0.0961061
0.2775	1.02214	0.0175504	0.0949444	0.736825	1.80216	0.0965528
0.2825	1.02219	0.0175175	0.0953726	0.73682	1.80206	0.096968
0.2875	1.02223	0.0174836	0.0957705	0.736815	1.80198	0.0973533
0.2925	1.02226	0.0174489	0.0961395	0.736809	1.80191	0.0977101
0.2975	1.02229	0.0174135	0.0964812	0.736803	1.80185	0.09804
0.3025	1.0223	0.0173776	0.096797	0.736796	1.8018	0.0983445
0.3075	1.02232	0.0173412	0.0970885	0.736788	1.80176	0.0986251
0.3125	1.02233	0.0173043	0.0973571	0.736779	1.80172	0.098883
0.3175	1.02233	0.0172671	0.0976041	0.73677	1.80169	0.0991197
