x	rho	u	v	p	e	uMax
-0.495	1.01327	-0.0118879	-0.0998732	0.727638	1.79527	0.100578
-0.485	1.01961	-0.015918	-0.0997589	0.734007	1.79972	0.101021
-0.475	1.02072	-0.0163163	-0.0997329	0.735116	1.80048	0.101059
-0.465	1.02102	-0.0164742	-0.0997341	0.735411	1.80067	0.101086
-0.455	1.02114	-0.0165813	-0.0997372	0.735529	1.80075	0.101106
-0.445	1.02122	-0.0166762	-0.0997347	0.735606	1.8008	0.101119
-0.435	1.02129	-0.016767	-0.0997269	0.735671	1.80084	0.101127
-0.425	1.02135	-0.0168558	-0.099709	0.735732	1.80088	0.101124
-0.415	1.02141	-0.0169429	-0.0996742	0.73579	1.80092	0.101104
-0.405	1.02146	-0.0170287	-0.099621	0.735844	1.80096	0.101066
-0.395	1.02151	-0.0171131	-0.0995464	0.735896	1.801	0.101007
-0.385	1.02156	-0.0171964	-0.0994463	0.735945	1.80104	0.100922
-0.375	1.0216	-0.0172785	-0.0993158	0.73599	1.80107	0.100808
-0.365	1.02164	-0.0173595	-0.0991497	0.736033	1.8011	0.100658
-0.355	1.02169	-0.0174395	-0.0989421	0.736073	1.80112	0.100467
-0.345	1.02173	-0.0175184	-0.0986857	0.736108	1.80114	0.100229
-0.335	1.02175	-0.0175971	-0.0983728	0.736138	1.80117	0.0999343
-0.325	1.02176	-0.0176755	-0.0979943	0.736167	1.80123	0.0995757
-0.315	1.02175	-0.0177514	-0.0975401	0.736196	1.80131	0.0991423
-0.305	1.02174	-0.0178247	-0.0969995	0.736221	1.80139	0.0986236
-0.295	1.02171	-0.0178956	-0.0963608	0.73624	1.80149	0.0980085
-0.285	1.02165	-0.0179631	-0.0956118	0.736255	1.80164	0.0972845
-0.275	1.02155	-0.0180259	-0.094739	0.736268	1.80185	0.0964387
-0.265	1.02139	-0.0180822	-0.0937292	0.736279	1.80215	0.0954574
-0.255	1.02115	-0.0181294	-0.0925675	0.736287	1.80259	0.0943261
-0.245	1.0208	-0.018162	-0.091239	0.736295	1.80322	0.0930291
-0.235	1.02031	-0.0181787	-0.0897315	0.736302	1.80412	0.0915544
-0.225	1.0196	-0.0181772	-0.0880309	0.73631	1.80539	0.089888
-0.215	1.0186	-0.0181437	-0.0861208	0.736317	1.80717	0.0880113
-0.205	1.01723	-0.0180686	-0.0839884	0.736328	1.80964	0.0859099
-0.195	1.01535	-0.0179448	-0.0816215	0.736344	1.81302	0.0835709
-0.185	1.01281	-0.0177571	-0.0790093	0.736367	1.81764	0.0809802
