x	y	rho	u	v	w	A11	A12	A13	A21	A22	A23	A31	A32	A33	omega	curlynorm	rho-rho0detA
-0.4995 	0 	1.01184 	-0.0126213 	-0.0999529 	0	1.00745	-0.00125766	0	0.00125557	1.00204	0	0	0	1.00244	0.0732826	0.249333	-0.000123573

-0.4985 	0 	1.01751 	-0.0149578 	-0.0998534 	0	1.00807	-0.00244772	0	0.00249539	1.00425	0	0	0	1.00514	0.0883147	0.202352	-5.11631e-05

-0.4975 	0 	1.01978 	-0.0151324 	-0.0997762 	0	1.00769	-0.00300395	0	0.00304399	1.0056	0	0	0	1.00634	0.059476	0.113978	9.57938e-06

-0.4965 	0 	1.02092 	-0.0152153 	-0.0997345 	0	1.00753	-0.00322046	0	0.00325205	1.00636	0	0	0	1.00686	0.030637	0.0615748	1.56831e-05

-0.4955 	0 	1.0215 	-0.0152598 	-0.099715 	0	1.00745	-0.00327648	0	0.0033029	1.00678	0	0	0	1.00709	0.0150159	0.0331444	1.13248e-05

-0.4945 	0 	1.0218 	-0.0152854 	-0.0997045 	0	1.00742	-0.00326183	0	0.00328891	1.00701	0	0	0	1.00719	0.00911708	0.0189061	6.6331e-06

-0.4935 	0 	1.02196 	-0.0153027 	-0.0996967 	0	1.0074	-0.00317339	0	0.00320163	1.00714	0	0	0	1.00725	0.00588967	0.0161579	3.9713e-06

-0.4925 	0 	1.02205 	-0.015316 	-0.0996927 	0	1.00739	-0.00301051	0	0.00303638	1.00721	0	0	0	1.00727	0.0019358	0.0188812	2.19633e-06

-0.4915 	0 	1.0221 	-0.0153272 	-0.0996929 	0	1.00739	-0.00281562	0	0.00283914	1.00725	0	0	0	1.00729	-0.00154083	0.0200241	1.177e-06

-0.4905 	0 	1.02213 	-0.0153374 	-0.0996958 	0	1.00739	-0.00261837	0	0.00264049	1.00727	0	0	0	1.0073	-0.00339783	0.0193589	6.24233e-07

-0.4895 	0 	1.02215 	-0.0153469 	-0.0996997 	0	1.00739	-0.00243348	0	0.00245494	1.00729	0	0	0	1.0073	-0.00399504	0.0179422	2.63995e-07

-0.4885 	0 	1.02216 	-0.0153561 	-0.0997037 	0	1.00739	-0.00226333	0	0.00228423	1.0073	0	0	0	1.00731	-0.00409095	0.0164191	2.15823e-08

-0.4875 	0 	1.02217 	-0.0153652 	-0.0997078 	0	1.0074	-0.00210829	0	0.00212868	1.0073	0	0	0	1.00731	-0.00404863	0.0149031	-9.68648e-08

-0.4865 	0 	1.02218 	-0.0153741 	-0.0997118 	0	1.0074	-0.00196807	0	0.00198796	1.00731	0	0	0	1.00731	-0.00393334	0.0134419	-1.45784e-07

-0.4855 	0 	1.02219 	-0.0153831 	-0.0997157 	0	1.0074	-0.00184196	0	0.00186136	1.00731	0	0	0	1.00732	-0.00377918	0.0120634	-1.59181e-07

-0.4845 	0 	1.0222 	-0.0153919 	-0.0997194 	0	1.0074	-0.00172906	0	0.00174796	1.00731	0	0	0	1.00732	-0.00360483	0.0107827	-1.56361e-07

-0.4835 	0 	1.02221 	-0.0154008 	-0.0997229 	0	1.0074	-0.00162833	0	0.00164675	1.00732	0	0	0	1.00732	-0.00342109	0.00960686	-1.45633e-07

-0.4825 	0 	1.02222 	-0.0154096 	-0.0997262 	0	1.00741	-0.00153874	0	0.00155667	1.00732	0	0	0	1.00733	-0.00323461	0.00853786	-1.31253e-07

-0.4815 	0 	1.02222 	-0.0154184 	-0.0997294 	0	1.00741	-0.00145921	0	0.00147665	1.00732	0	0	0	1.00733	-0.0030497	0.00757423	-1.15504e-07

-0.4805 	0 	1.02223 	-0.0154272 	-0.0997323 	0	1.00741	-0.00138873	0	0.00140566	1.00733	0	0	0	1.00733	-0.00286913	0.0067122	-9.96325e-08

-0.4795 	0 	1.02224 	-0.015436 	-0.0997351 	0	1.00741	-0.0013263	0	0.00134272	1.00733	0	0	0	1.00733	-0.00269464	0.0059464	-8.43232e-08

-0.4785 	0 	1.02225 	-0.0154448 	-0.0997377 	0	1.00741	-0.001271	0	0.0012869	1.00733	0	0	0	1.00733	-0.00252719	0.0052705	-6.99455e-08

-0.4775 	0 	1.02225 	-0.0154535 	-0.0997402 	0	1.00742	-0.00122197	0	0.00123735	1.00733	0	0	0	1.00734	-0.00236721	0.00467757	-5.66872e-08

-0.4765 	0 	1.02226 	-0.0154623 	-0.0997425 	0	1.00742	-0.00117843	0	0.00119328	1.00734	0	0	0	1.00734	-0.00221482	0.0041604	-4.46274e-08

-0.4755 	0 	1.02227 	-0.015471 	-0.0997446 	0	1.00742	-0.00113966	0	0.00115396	1.00734	0	0	0	1.00734	-0.00206997	0.00371178	-3.37789e-08

-0.4745 	0 	1.02227 	-0.0154797 	-0.0997466 	0	1.00742	-0.00110502	0	0.00111877	1.00734	0	0	0	1.00734	-0.00193244	0.00332463	-2.41125e-08

-0.4735 	0 	1.02228 	-0.0154884 	-0.0997485 	0	1.00742	-0.00107394	0	0.00108712	1.00734	0	0	0	1.00735	-0.00180187	0.00299217	-1.55723e-08

-0.4725 	0 	1.02228 	-0.0154971 	-0.0997502 	0	1.00743	-0.0010459	0	0.0010585	1.00734	0	0	0	1.00735	-0.00167778	0.00270803	-8.08475e-09

-0.4715 	0 	1.02229 	-0.0155058 	-0.0997518 	0	1.00743	-0.00102046	0	0.00103247	1.00735	0	0	0	1.00735	-0.00155959	0.00246626	-1.56527e-09

-0.4705 	0 	1.0223 	-0.0155144 	-0.0997533 	0	1.00743	-0.000997216	0	0.00100863	1.00735	0	0	0	1.00735	-0.00144671	0.0022614	4.07651e-09

-0.4695 	0 	1.0223 	-0.0155231 	-0.0997547 	0	1.00743	-0.000975841	0	0.00098665	1.00735	0	0	0	1.00735	-0.00133847	0.00208852	8.93216e-09

-0.4685 	0 	1.02231 	-0.0155317 	-0.099756 	0	1.00743	-0.000956037	0	0.000966224	1.00735	0	0	0	1.00736	-0.00123415	0.00194318	1.30899e-08

-0.4675 	0 	1.02231 	-0.0155403 	-0.0997572 	0	1.00743	-0.000937552	0	0.000947106	1.00735	0	0	0	1.00736	-0.00113304	0.00182143	1.6631e-08

-0.4665 	0 	1.02232 	-0.0155489 	-0.0997583 	0	1.00744	-0.000920169	0	0.000929077	1.00736	0	0	0	1.00736	-0.00103457	0.00171979	1.96289e-08

-0.4655 	0 	1.02232 	-0.0155575 	-0.0997593 	0	1.00744	-0.000903704	0	0.000911956	1.00736	0	0	0	1.00736	-0.000938243	0.00163522	2.21495e-08

-0.4645 	0 	1.02233 	-0.015566 	-0.0997601 	0	1.00744	-0.000888003	0	0.000895586	1.00736	0	0	0	1.00736	-0.00084369	0.00156506	2.42546e-08

-0.4635 	0 	1.02233 	-0.0155746 	-0.0997609 	0	1.00744	-0.000872935	0	0.000879837	1.00736	0	0	0	1.00737	-0.000750539	0.00150703	2.60042e-08

-0.4625 	0 	1.02234 	-0.0155831 	-0.0997616 	0	1.00744	-0.000858388	0	0.000864598	1.00736	0	0	0	1.00737	-0.000658275	0.00145914	2.74557e-08

-0.4615 	0 	1.02235 	-0.0155916 	-0.0997623 	0	1.00744	-0.000844271	0	0.000849777	1.00737	0	0	0	1.00737	-0.000566376	0.00141973	2.86622e-08

-0.4605 	0 	1.02235 	-0.0156002 	-0.0997628 	0	1.00745	-0.000830508	0	0.000835296	1.00737	0	0	0	1.00737	-0.000474601	0.00138738	2.96668e-08

-0.4595 	0 	1.02236 	-0.0156086 	-0.0997632 	0	1.00745	-0.000817034	0	0.000821093	1.00737	0	0	0	1.00737	-0.000382883	0.00136091	3.05014e-08

-0.4585 	0 	1.02236 	-0.0156171 	-0.0997635 	0	1.00745	-0.000803797	0	0.000807114	1.00737	0	0	0	1.00737	-0.00029099	0.00133934	3.11889e-08

-0.4575 	0 	1.02237 	-0.0156256 	-0.0997638 	0	1.00745	-0.000790751	0	0.000793314	1.00737	0	0	0	1.00738	-0.000198526	0.00132187	3.17499e-08

-0.4565 	0 	1.02237 	-0.015634 	-0.0997639 	0	1.00745	-0.00077786	0	0.000779656	1.00738	0	0	0	1.00738	-0.000105311	0.00130782	3.22056e-08

-0.4555 	0 	1.02238 	-0.0156425 	-0.099764 	0	1.00745	-0.000765092	0	0.000766109	1.00738	0	0	0	1.00738	-1.10422e-05	0.00129662	3.25768e-08

-0.4545 	0 	1.02238 	-0.0156509 	-0.099764 	0	1.00746	-0.000752421	0	0.000752646	1.00738	0	0	0	1.00738	8.45235e-05	0.00128781	3.28815e-08

-0.4535 	0 	1.02239 	-0.0156593 	-0.0997638 	0	1.00746	-0.000739826	0	0.000739244	1.00738	0	0	0	1.00738	0.000180594	0.00128098	3.31299e-08

-0.4525 	0 	1.02239 	-0.0156677 	-0.0997636 	0	1.00746	-0.000727289	0	0.000725888	1.00738	0	0	0	1.00738	0.0002789	0.00127586	3.33418e-08

-0.4515 	0 	1.0224 	-0.0156761 	-0.0997633 	0	1.00746	-0.000714794	0	0.000712562	1.00738	0	0	0	1.00739	0.000379344	0.00127228	3.35605e-08

-0.4505 	0 	1.0224 	-0.0156845 	-0.0997628 	0	1.00746	-0.000702326	0	0.000699259	1.00739	0	0	0	1.00739	0.000472462	0.00127017	3.37837e-08

-0.4495 	0 	1.02241 	-0.0156928 	-0.0997623 	0	1.00746	-0.00068987	0	0.000685955	1.00739	0	0	0	1.00739	0.000569005	0.00126925	3.38961e-08

-0.4485 	0 	1.02241 	-0.0157012 	-0.0997617 	0	1.00747	-0.000677417	0	0.000672623	1.00739	0	0	0	1.00739	0.000679908	0.00126914	3.38976e-08

-0.4475 	0 	1.02242 	-0.0157095 	-0.099761 	0	1.00747	-0.000664961	0	0.000659275	1.00739	0	0	0	1.00739	0.00078735	0.00126969	3.38792e-08

-0.4465 	0 	1.02242 	-0.0157178 	-0.0997601 	0	1.00747	-0.000652494	0	0.000645906	1.00739	0	0	0	1.00739	0.000890876	0.00127098	3.38412e-08

-0.4455 	0 	1.02243 	-0.0157261 	-0.0997592 	0	1.00747	-0.000640009	0	0.000632503	1.00739	0	0	0	1.0074	0.000998829	0.00127306	3.37992e-08

-0.4445 	0 	1.02243 	-0.0157344 	-0.0997581 	0	1.00747	-0.000627499	0	0.00061906	1.0074	0	0	0	1.0074	0.00110872	0.00127588	3.37569e-08

-0.4435 	0 	1.02244 	-0.0157427 	-0.099757 	0	1.00747	-0.000614955	0	0.000605568	1.0074	0	0	0	1.0074	0.00122042	0.00127943	3.37155e-08

-0.4425 	0 	1.02244 	-0.015751 	-0.0997557 	0	1.00747	-0.000602371	0	0.00059202	1.0074	0	0	0	1.0074	0.00133396	0.00128367	3.36751e-08

-0.4415 	0 	1.02245 	-0.0157593 	-0.0997543 	0	1.00748	-0.000589739	0	0.000578409	1.0074	0	0	0	1.0074	0.00144924	0.00128858	3.36358e-08

-0.4405 	0 	1.02245 	-0.0157675 	-0.0997528 	0	1.00748	-0.000577055	0	0.000564729	1.0074	0	0	0	1.0074	0.0015663	0.00129415	3.35973e-08

-0.4395 	0 	1.02245 	-0.0157757 	-0.0997512 	0	1.00748	-0.00056431	0	0.000550973	1.0074	0	0	0	1.00741	0.00168525	0.00130036	3.35596e-08

-0.4385 	0 	1.02246 	-0.015784 	-0.0997494 	0	1.00748	-0.000551498	0	0.000537133	1.0074	0	0	0	1.00741	0.00180622	0.00130721	3.35224e-08

-0.4375 	0 	1.02246 	-0.0157922 	-0.0997476 	0	1.00748	-0.000538614	0	0.000523203	1.00741	0	0	0	1.00741	0.00192924	0.00131471	3.34858e-08

-0.4365 	0 	1.02247 	-0.0158004 	-0.0997456 	0	1.00748	-0.000525651	0	0.000509177	1.00741	0	0	0	1.00741	0.00205434	0.00132285	3.34496e-08

-0.4355 	0 	1.02247 	-0.0158086 	-0.0997434 	0	1.00748	-0.000512602	0	0.000495048	1.00741	0	0	0	1.00741	0.0021815	0.00133163	3.34138e-08

-0.4345 	0 	1.02248 	-0.0158167 	-0.0997412 	0	1.00749	-0.00049946	0	0.000480808	1.00741	0	0	0	1.00741	0.00231074	0.00134107	3.33784e-08

-0.4335 	0 	1.02248 	-0.0158249 	-0.0997388 	0	1.00749	-0.00048622	0	0.000466452	1.00741	0	0	0	1.00741	0.00244208	0.00135117	3.33434e-08

-0.4325 	0 	1.02249 	-0.0158331 	-0.0997363 	0	1.00749	-0.000472875	0	0.000451973	1.00741	0	0	0	1.00742	0.0025756	0.00136194	3.33088e-08

-0.4315 	0 	1.02249 	-0.0158412 	-0.0997337 	0	1.00749	-0.000459418	0	0.000437362	1.00742	0	0	0	1.00742	0.00271137	0.00137338	3.32747e-08

-0.4305 	0 	1.02249 	-0.0158494 	-0.0997309 	0	1.00749	-0.000445842	0	0.000422614	1.00742	0	0	0	1.00742	0.00284941	0.00138551	3.3241e-08

-0.4295 	0 	1.0225 	-0.0158575 	-0.099728 	0	1.00749	-0.000432141	0	0.00040772	1.00742	0	0	0	1.00742	0.00298977	0.00139833	3.32078e-08

-0.4285 	0 	1.0225 	-0.0158656 	-0.0997249 	0	1.00749	-0.000418307	0	0.000392674	1.00742	0	0	0	1.00742	0.00313245	0.00141187	3.31749e-08

-0.4275 	0 	1.02251 	-0.0158737 	-0.0997217 	0	1.0075	-0.000404333	0	0.000377469	1.00742	0	0	0	1.00742	0.0032775	0.00142612	3.31424e-08

-0.4265 	0 	1.02251 	-0.0158818 	-0.0997184 	0	1.0075	-0.000390213	0	0.000362096	1.00742	0	0	0	1.00743	0.00342496	0.0014411	3.31101e-08

-0.4255 	0 	1.02252 	-0.0158899 	-0.0997149 	0	1.0075	-0.000375938	0	0.000346548	1.00742	0	0	0	1.00743	0.00357489	0.00145682	3.30782e-08

-0.4245 	0 	1.02252 	-0.015898 	-0.0997112 	0	1.0075	-0.000361502	0	0.000330817	1.00743	0	0	0	1.00743	0.00372733	0.0014733	3.30467e-08

-0.4235 	0 	1.02252 	-0.015906 	-0.0997074 	0	1.0075	-0.000346897	0	0.000314896	1.00743	0	0	0	1.00743	0.00388234	0.00149054	3.30156e-08

-0.4225 	0 	1.02253 	-0.0159141 	-0.0997034 	0	1.0075	-0.000332115	0	0.000298776	1.00743	0	0	0	1.00743	0.00403993	0.00150856	3.29851e-08

-0.4215 	0 	1.02253 	-0.0159221 	-0.0996993 	0	1.0075	-0.000317149	0	0.000282449	1.00743	0	0	0	1.00743	0.00420016	0.00152738	3.2955e-08

-0.4205 	0 	1.02254 	-0.0159302 	-0.099695 	0	1.00751	-0.00030199	0	0.000265906	1.00743	0	0	0	1.00743	0.00436306	0.001547	3.29252e-08

-0.4195 	0 	1.02254 	-0.0159382 	-0.0996906 	0	1.00751	-0.00028663	0	0.00024914	1.00743	0	0	0	1.00743	0.00452869	0.00156744	3.28958e-08

-0.4185 	0 	1.02255 	-0.0159462 	-0.099686 	0	1.00751	-0.000271062	0	0.000232141	1.00743	0	0	0	1.00744	0.0046971	0.00158872	3.28666e-08

-0.4175 	0 	1.02255 	-0.0159542 	-0.0996812 	0	1.00751	-0.000255277	0	0.000214902	1.00744	0	0	0	1.00744	0.00486834	0.00161084	3.28377e-08

-0.4165 	0 	1.02255 	-0.0159622 	-0.0996763 	0	1.00751	-0.000239266	0	0.000197412	1.00744	0	0	0	1.00744	0.00504245	0.00163382	3.28092e-08

-0.4155 	0 	1.02256 	-0.0159702 	-0.0996711 	0	1.00751	-0.00022302	0	0.000179663	1.00744	0	0	0	1.00744	0.00521948	0.00165768	3.27814e-08

-0.4145 	0 	1.02256 	-0.0159782 	-0.0996658 	0	1.00751	-0.000206532	0	0.000161646	1.00744	0	0	0	1.00744	0.00539947	0.00168242	3.27543e-08

-0.4135 	0 	1.02257 	-0.0159862 	-0.0996603 	0	1.00751	-0.000189792	0	0.000143351	1.00744	0	0	0	1.00744	0.00558249	0.00170807	3.2728e-08

-0.4125 	0 	1.02257 	-0.0159942 	-0.0996546 	0	1.00752	-0.000172791	0	0.000124769	1.00744	0	0	0	1.00744	0.00576857	0.00173464	3.27022e-08

-0.4115 	0 	1.02257 	-0.0160021 	-0.0996488 	0	1.00752	-0.00015552	0	0.00010589	1.00744	0	0	0	1.00745	0.00595777	0.00176214	3.26766e-08

-0.4105 	0 	1.02258 	-0.0160101 	-0.0996427 	0	1.00752	-0.000137969	0	8.67051e-05	1.00744	0	0	0	1.00745	0.00615016	0.00179058	3.26509e-08

-0.4095 	0 	1.02258 	-0.016018 	-0.0996365 	0	1.00752	-0.00012013	0	6.72033e-05	1.00745	0	0	0	1.00745	0.00634577	0.00181999	3.2625e-08

-0.4085 	0 	1.02258 	-0.016026 	-0.09963 	0	1.00752	-0.000101992	0	4.7375e-05	1.00745	0	0	0	1.00745	0.00654466	0.00185038	3.25991e-08

-0.4075 	0 	1.02259 	-0.0160339 	-0.0996234 	0	1.00752	-8.35452e-05	0	2.72097e-05	1.00745	0	0	0	1.00745	0.00674688	0.00188175	3.25737e-08

-0.4065 	0 	1.02259 	-0.0160418 	-0.0996165 	0	1.00752	-6.47804e-05	0	6.69715e-06	1.00745	0	0	0	1.00745	0.00695249	0.00191413	3.25496e-08

-0.4055 	0 	1.0226 	-0.0160498 	-0.0996095 	0	1.00752	-4.56872e-05	0	-1.41733e-05	1.00745	0	0	0	1.00745	0.00716154	0.00194753	3.25271e-08

-0.4045 	0 	1.0226 	-0.0160577 	-0.0996022 	0	1.00752	-2.62554e-05	0	-3.54123e-05	1.00745	0	0	0	1.00745	0.0073741	0.00198197	3.25062e-08

-0.4035 	0 	1.0226 	-0.0160656 	-0.0995947 	0	1.00753	-6.47458e-06	0	-5.70308e-05	1.00745	0	0	0	1.00746	0.00759022	0.00201746	3.24865e-08

-0.4025 	0 	1.02261 	-0.0160735 	-0.099587 	0	1.00753	1.36658e-05	0	-7.90398e-05	1.00745	0	0	0	1.00746	0.00780996	0.00205402	3.24673e-08

-0.4015 	0 	1.02261 	-0.0160814 	-0.0995791 	0	1.00753	3.41765e-05	0	-0.000101451	1.00746	0	0	0	1.00746	0.00803337	0.00209166	3.24473e-08

-0.4005 	0 	1.02261 	-0.0160892 	-0.099571 	0	1.00753	5.50685e-05	0	-0.000124275	1.00746	0	0	0	1.00746	0.00826052	0.00213042	3.24262e-08

-0.3995 	0 	1.02262 	-0.0160971 	-0.0995626 	0	1.00753	7.63529e-05	0	-0.000147524	1.00746	0	0	0	1.00746	0.00849147	0.00217029	3.24037e-08

