x	y	rho	u	v	w	A11	A12	A13	A21	A22	A23	A31	A32	A33	omega	curlynorm	rho-rho0detA
-0.41375 	0 	1.01368 	-0.011025 	-0.0999997 	0	1.00454	-0.000337299	0	0.000337399	1.00454	0	0	0	1.00454	5.8566e-05	0.00101472	-6.26931e-07

-0.41125 	0 	1.0136 	-0.0109393 	-0.0999996 	0	1.00451	-0.000335481	0	0.000335581	1.00451	0	0	0	1.00451	4.06141e-05	0.00101585	-6.26886e-07

-0.40875 	0 	1.01352 	-0.0108536 	-0.0999995 	0	1.00449	-0.000333413	0	0.000333511	1.00449	0	0	0	1.00449	2.60272e-05	0.00101714	-6.26829e-07

-0.40625 	0 	1.01345 	-0.0107679 	-0.0999994 	0	1.00446	-0.000331125	0	0.000331219	1.00446	0	0	0	1.00446	1.50263e-05	0.00101855	-6.26797e-07

-0.40375 	0 	1.01337 	-0.0106822 	-0.0999994 	0	1.00444	-0.000328662	0	0.000328752	1.00444	0	0	0	1.00444	7.39938e-06	0.00102002	-6.26839e-07

-0.40125 	0 	1.0133 	-0.0105964 	-0.0999994 	0	1.00441	-0.000326072	0	0.000326158	1.00441	0	0	0	1.00441	2.36954e-06	0.00102152	-6.26982e-07

-0.39875 	0 	1.01322 	-0.0105105 	-0.0999994 	0	1.00439	-0.0003234	0	0.000323483	1.00439	0	0	0	1.00439	-8.79235e-07	0.00102303	-6.27242e-07

-0.39625 	0 	1.01314 	-0.0104246 	-0.0999994 	0	1.00436	-0.000320679	0	0.00032076	1.00436	0	0	0	1.00436	-2.64359e-06	0.0010245	-6.27612e-07

-0.39375 	0 	1.01307 	-0.0103386 	-0.0999994 	0	1.00434	-0.000317935	0	0.000318015	1.00434	0	0	0	1.00434	-3.18412e-06	0.00102587	-6.28078e-07

-0.39125 	0 	1.01299 	-0.0102525 	-0.0999994 	0	1.00431	-0.000315186	0	0.000315265	1.00431	0	0	0	1.00431	-2.91165e-06	0.00102706	-6.28614e-07

-0.38875 	0 	1.01291 	-0.0101664 	-0.0999994 	0	1.00429	-0.000312442	0	0.000312522	1.00429	0	0	0	1.00429	-2.25648e-06	0.00102797	-6.29125e-07

-0.38625 	0 	1.01284 	-0.0100802 	-0.0999994 	0	1.00426	-0.000309707	0	0.000309786	1.00426	0	0	0	1.00426	-1.53345e-06	0.00102848	-6.29269e-07

-0.38375 	0 	1.01276 	-0.00999404 	-0.0999994 	0	1.00424	-0.000306979	0	0.000307059	1.00424	0	0	0	1.00424	-8.78564e-07	0.00102835	-6.27859e-07

-0.38125 	0 	1.01269 	-0.00990792 	-0.0999994 	0	1.00421	-0.00030426	0	0.00030434	1.00421	0	0	0	1.00421	-5.63175e-07	0.00102758	-6.26512e-07

-0.37875 	0 	1.01261 	-0.00982189 	-0.0999994 	0	1.00419	-0.000301549	0	0.000301628	1.00419	0	0	0	1.00419	-6.13129e-07	0.00102667	-6.49324e-07

-0.37625 	0 	1.01253 	-0.009736 	-0.0999994 	0	1.00416	-0.000298848	0	0.000298927	1.00416	0	0	0	1.00416	-5.51773e-07	0.00102556	-6.3168e-07

-0.37375 	0 	1.01246 	-0.00965022 	-0.0999994 	0	1.00414	-0.000296154	0	0.000296234	1.00414	0	0	0	1.00413	-2.90606e-07	0.00102391	-6.17679e-07

-0.37125 	0 	1.01238 	-0.00956457 	-0.0999994 	0	1.00411	-0.000293467	0	0.000293546	1.00411	0	0	0	1.00411	-1.8783e-07	0.0010223	-6.20787e-07

-0.36875 	0 	1.0123 	-0.00947906 	-0.0999994 	0	1.00408	-0.000290783	0	0.000290862	1.00408	0	0	0	1.00408	-2.21894e-07	0.00102116	-6.27495e-07

-0.36625 	0 	1.01223 	-0.00939364 	-0.0999994 	0	1.00406	-0.000288102	0	0.000288182	1.00406	0	0	0	1.00406	-2.13859e-07	0.00102039	-6.24185e-07

-0.36375 	0 	1.01215 	-0.00930831 	-0.0999994 	0	1.00403	-0.000285424	0	0.000285503	1.00403	0	0	0	1.00403	-1.83808e-07	0.00102	-6.23074e-07

-0.36125 	0 	1.01208 	-0.00922302 	-0.0999994 	0	1.00401	-0.000282747	0	0.000282826	1.00401	0	0	0	1.00401	-1.53646e-07	0.00102001	-6.2233e-07

-0.35875 	0 	1.012 	-0.00913775 	-0.0999994 	0	1.00398	-0.00028007	0	0.000280149	1.00398	0	0	0	1.00398	-1.10273e-07	0.00102041	-6.21997e-07

-0.35625 	0 	1.01192 	-0.00905248 	-0.0999994 	0	1.00396	-0.000277392	0	0.000277472	1.00396	0	0	0	1.00396	-5.84179e-08	0.00102121	-6.21763e-07

-0.35375 	0 	1.01185 	-0.00896717 	-0.0999994 	0	1.00393	-0.000274713	0	0.000274793	1.00393	0	0	0	1.00393	-1.31832e-08	0.00102236	-6.21724e-07

