x	rho	u	v	p	e	uMax
-0.4995	1.01027	-0.0113016	-0.0999649	0.724632	1.79316	0.100602
-0.4985	1.01692	-0.0155823	-0.0998959	0.731329	1.7979	0.101104
-0.4975	1.01967	-0.0160818	-0.0998358	0.734103	1.79985	0.101123
-0.4965	1.02124	-0.0162237	-0.099795	0.735674	1.80094	0.101105
-0.4955	1.02216	-0.0163107	-0.0997716	0.736604	1.80158	0.101096
-0.4945	1.02271	-0.0163647	-0.0997588	0.737154	1.80195	0.101092
-0.4935	1.02304	-0.0163996	-0.0997505	0.737482	1.80217	0.10109
-0.4925	1.02325	-0.0164237	-0.0997436	0.737679	1.8023	0.101087
-0.4915	1.02337	-0.0164418	-0.0997376	0.737799	1.80238	0.101084
-0.4905	1.02345	-0.0164562	-0.0997342	0.737873	1.80242	0.101083
-0.4895	1.0235	-0.0164683	-0.0997338	0.737919	1.80245	0.101084
-0.4885	1.02353	-0.0164792	-0.0997352	0.73795	1.80246	0.101087
-0.4875	1.02355	-0.0164895	-0.0997373	0.737971	1.80247	0.101091
-0.4865	1.02357	-0.0164992	-0.0997395	0.737986	1.80248	0.101095
-0.4855	1.02358	-0.0165087	-0.0997416	0.737998	1.80248	0.101099
-0.4845	1.0236	-0.0165179	-0.0997437	0.738007	1.80249	0.101102
-0.4835	1.02361	-0.0165271	-0.0997456	0.738016	1.80249	0.101106
-0.4825	1.02361	-0.0165361	-0.0997474	0.738024	1.80249	0.101109
-0.4815	1.02362	-0.0165451	-0.0997491	0.738031	1.8025	0.101112
-0.4805	1.02363	-0.0165541	-0.0997506	0.738038	1.8025	0.101115
-0.4795	1.02364	-0.0165631	-0.0997519	0.738045	1.80251	0.101118
-0.4785	1.02364	-0.016572	-0.0997531	0.738052	1.80251	0.10112
-0.4775	1.02365	-0.016581	-0.0997542	0.738058	1.80251	0.101123
-0.4765	1.02366	-0.0165899	-0.0997551	0.738065	1.80252	0.101125
-0.4755	1.02367	-0.0165988	-0.0997558	0.738071	1.80252	0.101127
-0.4745	1.02367	-0.0166076	-0.0997565	0.738078	1.80253	0.101129
-0.4735	1.02368	-0.0166165	-0.099757	0.738084	1.80253	0.101131
-0.4725	1.02368	-0.0166253	-0.0997574	0.73809	1.80253	0.101133
-0.4715	1.02369	-0.0166342	-0.0997577	0.738096	1.80254	0.101135
-0.4705	1.0237	-0.016643	-0.0997578	0.738102	1.80254	0.101137
-0.4695	1.0237	-0.0166518	-0.0997579	0.738108	1.80254	0.101138
-0.4685	1.02371	-0.0166605	-0.0997578	0.738114	1.80255	0.101139
-0.4675	1.02371	-0.0166693	-0.0997576	0.73812	1.80255	0.101141
-0.4665	1.02372	-0.016678	-0.0997573	0.738125	1.80256	0.101142
-0.4655	1.02373	-0.0166868	-0.099757	0.738131	1.80256	0.101143
-0.4645	1.02373	-0.0166955	-0.0997565	0.738137	1.80256	0.101144
-0.4635	1.02374	-0.0167042	-0.0997559	0.738142	1.80257	0.101145
-0.4625	1.02374	-0.0167129	-0.0997552	0.738148	1.80257	0.101146
-0.4615	1.02375	-0.0167215	-0.0997544	0.738154	1.80258	0.101146
-0.4605	1.02375	-0.0167302	-0.0997535	0.738159	1.80258	0.101147
-0.4595	1.02376	-0.0167388	-0.0997526	0.738164	1.80258	0.101147
-0.4585	1.02376	-0.0167474	-0.0997515	0.73817	1.80259	0.101148
-0.4575	1.02377	-0.0167561	-0.0997503	0.738175	1.80259	0.101148
-0.4565	1.02378	-0.0167647	-0.099749	0.738181	1.80259	0.101148
-0.4555	1.02378	-0.0167732	-0.0997476	0.738186	1.8026	0.101148
-0.4545	1.02379	-0.0167818	-0.0997461	0.738191	1.8026	0.101148
-0.4535	1.02379	-0.0167904	-0.0997445	0.738196	1.8026	0.101148
-0.4525	1.0238	-0.0167989	-0.0997428	0.738202	1.80261	0.101148
-0.4515	1.0238	-0.0168074	-0.099741	0.738207	1.80261	0.101147
-0.4505	1.02381	-0.0168159	-0.099739	0.738212	1.80262	0.101147
-0.4495	1.02381	-0.0168244	-0.099737	0.738217	1.80262	0.101146
-0.4485	1.02382	-0.0168329	-0.0997348	0.738222	1.80262	0.101145
-0.4475	1.02382	-0.0168414	-0.0997326	0.738227	1.80263	0.101145
-0.4465	1.02383	-0.0168498	-0.0997302	0.738232	1.80263	0.101144
-0.4455	1.02383	-0.0168583	-0.0997277	0.738237	1.80263	0.101143
-0.4445	1.02384	-0.0168667	-0.099725	0.738242	1.80264	0.101141
-0.4435	1.02384	-0.0168751	-0.0997223	0.738247	1.80264	0.10114
-0.4425	1.02385	-0.0168835	-0.0997194	0.738252	1.80264	0.101139
-0.4415	1.02385	-0.0168919	-0.0997164	0.738256	1.80265	0.101137
-0.4405	1.02386	-0.0169003	-0.0997133	0.738261	1.80265	0.101135
-0.4395	1.02386	-0.0169087	-0.09971	0.738266	1.80265	0.101133
-0.4385	1.02387	-0.016917	-0.0997066	0.738271	1.80266	0.101132
-0.4375	1.02387	-0.0169254	-0.099703	0.738276	1.80266	0.101129
-0.4365	1.02387	-0.0169337	-0.0996993	0.73828	1.80266	0.101127
-0.4355	1.02388	-0.016942	-0.0996955	0.738285	1.80267	0.101125
-0.4345	1.02388	-0.0169503	-0.0996915	0.73829	1.80267	0.101122
-0.4335	1.02389	-0.0169586	-0.0996874	0.738294	1.80267	0.10112
-0.4325	1.02389	-0.0169669	-0.0996831	0.738299	1.80267	0.101117
-0.4315	1.0239	-0.0169752	-0.0996787	0.738303	1.80268	0.101114
-0.4305	1.0239	-0.0169834	-0.0996741	0.738308	1.80268	0.101111
-0.4295	1.02391	-0.0169917	-0.0996694	0.738312	1.80268	0.101107
-0.4285	1.02391	-0.0169999	-0.0996645	0.738317	1.80269	0.101104
-0.4275	1.02392	-0.0170082	-0.0996594	0.738321	1.80269	0.1011
-0.4265	1.02392	-0.0170164	-0.0996542	0.738326	1.80269	0.101097
-0.4255	1.02392	-0.0170246	-0.0996488	0.73833	1.8027	0.101093
-0.4245	1.02393	-0.0170328	-0.0996432	0.738334	1.8027	0.101088
-0.4235	1.02393	-0.017041	-0.0996374	0.738339	1.8027	0.101084
-0.4225	1.02394	-0.0170492	-0.0996315	0.738343	1.80271	0.10108
-0.4215	1.02394	-0.0170573	-0.0996254	0.738347	1.80271	0.101075
-0.4205	1.02395	-0.0170655	-0.0996191	0.738351	1.80271	0.10107
-0.4195	1.02395	-0.0170737	-0.0996126	0.738356	1.80271	0.101065
-0.4185	1.02395	-0.0170818	-0.0996059	0.73836	1.80272	0.10106
-0.4175	1.02396	-0.0170899	-0.0995991	0.738364	1.80272	0.101055
-0.4165	1.02396	-0.0170981	-0.099592	0.738368	1.80272	0.101049
-0.4155	1.02397	-0.0171062	-0.0995847	0.738372	1.80273	0.101043
-0.4145	1.02397	-0.0171143	-0.0995773	0.738376	1.80273	0.101037
-0.4135	1.02397	-0.0171224	-0.0995696	0.73838	1.80273	0.101031
-0.4125	1.02398	-0.0171305	-0.0995617	0.738384	1.80273	0.101025
-0.4115	1.02398	-0.0171386	-0.0995536	0.738388	1.80274	0.101018
-0.4105	1.02399	-0.0171466	-0.0995453	0.738392	1.80274	0.101011
-0.4095	1.02399	-0.0171547	-0.0995367	0.738396	1.80274	0.101004
-0.4085	1.02399	-0.0171628	-0.0995279	0.7384	1.80274	0.100997
-0.4075	1.024	-0.0171708	-0.0995189	0.738404	1.80275	0.100989
-0.4065	1.024	-0.0171788	-0.0995097	0.738407	1.80275	0.100982
-0.4055	1.02401	-0.0171869	-0.0995002	0.738411	1.80275	0.100974
-0.4045	1.02401	-0.0171949	-0.0994905	0.738415	1.80276	0.100965
-0.4035	1.02401	-0.0172029	-0.0994805	0.738419	1.80276	0.100957
-0.4025	1.02402	-0.0172109	-0.0994703	0.738423	1.80276	0.100948
-0.4015	1.02402	-0.0172189	-0.0994599	0.738426	1.80276	0.100939
-0.4005	1.02402	-0.0172269	-0.0994491	0.73843	1.80277	0.10093
-0.3995	1.02403	-0.0172349	-0.0994382	0.738434	1.80277	0.100921
-0.3985	1.02403	-0.0172429	-0.0994269	0.738437	1.80277	0.100911
-0.3975	1.02403	-0.0172509	-0.0994154	0.738441	1.80277	0.100901
-0.3965	1.02404	-0.0172589	-0.0994036	0.738444	1.80278	0.100891
-0.3955	1.02404	-0.0172668	-0.0993915	0.738448	1.80278	0.10088
-0.3945	1.02404	-0.0172748	-0.0993792	0.738451	1.80278	0.100869
-0.3935	1.02405	-0.0172828	-0.0993665	0.738455	1.80278	0.100858
-0.3925	1.02405	-0.0172907	-0.0993536	0.738458	1.80279	0.100847
-0.3915	1.02405	-0.0172987	-0.0993404	0.738462	1.80279	0.100835
-0.3905	1.02406	-0.0173066	-0.0993268	0.738465	1.80279	0.100823
-0.3895	1.02406	-0.0173145	-0.099313	0.738468	1.80279	0.100811
-0.3885	1.02406	-0.0173225	-0.0992988	0.738472	1.8028	0.100798
-0.3875	1.02407	-0.0173304	-0.0992843	0.738475	1.8028	0.100786
-0.3865	1.02407	-0.0173383	-0.0992696	0.738478	1.8028	0.100772
-0.3855	1.02407	-0.0173462	-0.0992544	0.738481	1.8028	0.100759
-0.3845	1.02408	-0.0173541	-0.099239	0.738485	1.80281	0.100745
-0.3835	1.02408	-0.017362	-0.0992232	0.738488	1.80281	0.100731
-0.3825	1.02408	-0.0173699	-0.0992071	0.738491	1.80281	0.100716
-0.3815	1.02409	-0.0173778	-0.0991906	0.738494	1.80281	0.100701
-0.3805	1.02409	-0.0173857	-0.0991737	0.738497	1.80282	0.100686
-0.3795	1.02409	-0.0173936	-0.0991565	0.7385	1.80282	0.100671
-0.3785	1.02409	-0.0174015	-0.099139	0.738503	1.80282	0.100655
-0.3775	1.0241	-0.0174093	-0.0991211	0.738507	1.80282	0.100638
-0.3765	1.0241	-0.0174172	-0.0991028	0.73851	1.80283	0.100622
-0.3755	1.0241	-0.0174251	-0.0990841	0.738512	1.80283	0.100605
-0.3745	1.02411	-0.0174329	-0.099065	0.738515	1.80283	0.100587
-0.3735	1.02411	-0.0174408	-0.0990455	0.738518	1.80283	0.100569
-0.3725	1.02411	-0.0174486	-0.0990257	0.738521	1.80284	0.100551
-0.3715	1.02411	-0.0174565	-0.0990054	0.738524	1.80284	0.100533
-0.3705	1.02412	-0.0174643	-0.0989847	0.738527	1.80284	0.100514
-0.3695	1.02412	-0.0174722	-0.0989636	0.73853	1.80284	0.100494
-0.3685	1.02412	-0.01748	-0.0989421	0.738533	1.80285	0.100474
-0.3675	1.02412	-0.0174879	-0.0989201	0.738535	1.80285	0.100454
-0.3665	1.02413	-0.0174957	-0.0988977	0.738538	1.80285	0.100433
-0.3655	1.02413	-0.0175035	-0.0988749	0.738541	1.80285	0.100412
-0.3645	1.02413	-0.0175113	-0.0988516	0.738543	1.80286	0.100391
-0.3635	1.02413	-0.0175192	-0.0988279	0.738546	1.80286	0.100369
-0.3625	1.02413	-0.017527	-0.0988037	0.738549	1.80286	0.100346
-0.3615	1.02414	-0.0175348	-0.098779	0.738551	1.80286	0.100323
-0.3605	1.02414	-0.0175426	-0.0987539	0.738554	1.80287	0.1003
-0.3595	1.02414	-0.0175504	-0.0987283	0.738557	1.80287	0.100276
-0.3585	1.02414	-0.0175582	-0.0987021	0.738559	1.80287	0.100252
-0.3575	1.02414	-0.017566	-0.0986755	0.738562	1.80287	0.100227
-0.3565	1.02415	-0.0175738	-0.0986484	0.738564	1.80288	0.100202
-0.3555	1.02415	-0.0175816	-0.0986208	0.738567	1.80288	0.100176
-0.3545	1.02415	-0.0175894	-0.0985926	0.738569	1.80288	0.100149
-0.3535	1.02415	-0.0175972	-0.0985639	0.738571	1.80288	0.100122
-0.3525	1.02415	-0.017605	-0.0985347	0.738574	1.80289	0.100095
-0.3515	1.02416	-0.0176128	-0.098505	0.738576	1.80289	0.100067
-0.3505	1.02416	-0.0176206	-0.0984747	0.738578	1.80289	0.100039
-0.3495	1.02416	-0.0176284	-0.0984438	0.738581	1.80289	0.10001
-0.3485	1.02416	-0.0176362	-0.0984124	0.738583	1.8029	0.0999802
-0.3475	1.02416	-0.0176439	-0.0983804	0.738585	1.8029	0.09995
-0.3465	1.02416	-0.0176517	-0.0983478	0.738587	1.8029	0.0999194
-0.3455	1.02416	-0.0176595	-0.0983147	0.738589	1.80291	0.0998881
-0.3445	1.02417	-0.0176673	-0.0982809	0.738592	1.80291	0.0998562
-0.3435	1.02417	-0.017675	-0.0982466	0.738594	1.80292	0.0998238
-0.3425	1.02417	-0.0176828	-0.0982116	0.738596	1.80292	0.0997908
-0.3415	1.02417	-0.0176905	-0.098176	0.738598	1.80292	0.0997571
-0.3405	1.02417	-0.0176983	-0.0981398	0.7386	1.80293	0.0997228
-0.3395	1.02417	-0.017706	-0.0981029	0.738602	1.80293	0.099688
-0.3385	1.02417	-0.0177138	-0.0980654	0.738604	1.80293	0.0996524
-0.3375	1.02417	-0.0177215	-0.0980273	0.738606	1.80294	0.0996163
-0.3365	1.02417	-0.0177293	-0.0979885	0.738608	1.80294	0.0995795
-0.3355	1.02417	-0.017737	-0.097949	0.73861	1.80295	0.099542
-0.3345	1.02417	-0.0177447	-0.0979088	0.738612	1.80295	0.0995038
-0.3335	1.02417	-0.0177524	-0.097868	0.738614	1.80296	0.099465
-0.3325	1.02417	-0.0177602	-0.0978264	0.738616	1.80296	0.0994255
-0.3315	1.02417	-0.0177679	-0.0977842	0.738618	1.80297	0.0993853
-0.3305	1.02417	-0.0177756	-0.0977412	0.73862	1.80297	0.0993444
-0.3295	1.02417	-0.0177833	-0.0976975	0.738621	1.80297	0.0993028
-0.3285	1.02417	-0.017791	-0.0976531	0.738623	1.80298	0.0992605
-0.3275	1.02417	-0.0177987	-0.0976079	0.738625	1.80298	0.0992174
-0.3265	1.02417	-0.0178063	-0.097562	0.738627	1.80299	0.0991736
-0.3255	1.02417	-0.017814	-0.0975153	0.738628	1.80299	0.099129
-0.3245	1.02417	-0.0178217	-0.0974678	0.73863	1.803	0.0990837
-0.3235	1.02417	-0.0178294	-0.0974196	0.738632	1.803	0.0990377
-0.3225	1.02417	-0.017837	-0.0973705	0.738633	1.80301	0.0989908
-0.3215	1.02417	-0.0178447	-0.0973207	0.738635	1.80302	0.0989432
-0.3205	1.02416	-0.0178523	-0.0972701	0.738637	1.80302	0.0988947
-0.3195	1.02416	-0.0178599	-0.0972186	0.738638	1.80303	0.0988455
-0.3185	1.02416	-0.0178675	-0.0971663	0.73864	1.80304	0.0987955
-0.3175	1.02416	-0.0178752	-0.0971132	0.738641	1.80304	0.0987446
-0.3165	1.02416	-0.0178828	-0.0970592	0.738643	1.80305	0.0986929
-0.3155	1.02416	-0.0178904	-0.0970044	0.738644	1.80306	0.0986404
-0.3145	1.02415	-0.0178979	-0.0969487	0.738646	1.80306	0.098587
-0.3135	1.02415	-0.0179055	-0.0968921	0.738647	1.80307	0.0985327
-0.3125	1.02415	-0.0179131	-0.0968347	0.738649	1.80308	0.0984776
-0.3115	1.02415	-0.0179206	-0.0967763	0.73865	1.80309	0.0984215
-0.3105	1.02414	-0.0179282	-0.096717	0.738652	1.8031	0.0983646
-0.3095	1.02414	-0.0179357	-0.0966568	0.738653	1.80311	0.0983068
-0.3085	1.02414	-0.0179432	-0.0965957	0.738654	1.80312	0.0982481
-0.3075	1.02413	-0.0179507	-0.0965336	0.738656	1.80313	0.0981884
-0.3065	1.02413	-0.0179582	-0.0964706	0.738657	1.80314	0.0981278
-0.3055	1.02412	-0.0179656	-0.0964066	0.738658	1.80315	0.0980663
-0.3045	1.02412	-0.0179731	-0.0963417	0.73866	1.80316	0.0980038
-0.3035	1.02412	-0.0179805	-0.0962757	0.738661	1.80317	0.0979404
-0.3025	1.02411	-0.0179879	-0.0962088	0.738662	1.80318	0.0978759
-0.3015	1.02411	-0.0179953	-0.0961409	0.738663	1.80319	0.0978105
-0.3005	1.0241	-0.0180027	-0.0960719	0.738665	1.8032	0.0977441
-0.2995	1.0241	-0.01801	-0.0960019	0.738666	1.80322	0.0976767
-0.2985	1.02409	-0.0180173	-0.0959309	0.738667	1.80323	0.0976082
-0.2975	1.02408	-0.0180247	-0.0958588	0.738668	1.80324	0.0975387
-0.2965	1.02408	-0.0180319	-0.0957857	0.738669	1.80326	0.0974682
-0.2955	1.02407	-0.0180392	-0.0957115	0.738671	1.80327	0.0973966
-0.2945	1.02406	-0.0180464	-0.0956362	0.738672	1.80329	0.097324
-0.2935	1.02406	-0.0180536	-0.0955599	0.738673	1.8033	0.0972503
-0.2925	1.02405	-0.0180608	-0.0954824	0.738674	1.80332	0.0971755
-0.2915	1.02404	-0.018068	-0.0954038	0.738675	1.80334	0.0970996
-0.2905	1.02403	-0.0180751	-0.0953241	0.738676	1.80335	0.0970226
-0.2895	1.02402	-0.0180822	-0.0952432	0.738677	1.80337	0.0969445
-0.2885	1.02401	-0.0180892	-0.0951612	0.738678	1.80339	0.0968652
-0.2875	1.024	-0.0180963	-0.095078	0.738679	1.80341	0.0967849
-0.2865	1.02399	-0.0181032	-0.0949937	0.73868	1.80343	0.0967033
-0.2855	1.02398	-0.0181102	-0.0949082	0.738681	1.80345	0.0966206
-0.2845	1.02397	-0.0181171	-0.0948215	0.738682	1.80347	0.0965367
-0.2835	1.02396	-0.018124	-0.0947335	0.738683	1.80349	0.0964516
-0.2825	1.02395	-0.0181308	-0.0946444	0.738684	1.80352	0.0963654
-0.2815	1.02394	-0.0181376	-0.094554	0.738685	1.80354	0.0962779
-0.2805	1.02393	-0.0181444	-0.0944624	0.738686	1.80357	0.0961892
-0.2795	1.02391	-0.0181511	-0.0943695	0.738687	1.80359	0.0960993
-0.2785	1.0239	-0.0181577	-0.0942754	0.738688	1.80362	0.0960081
-0.2775	1.02388	-0.0181643	-0.09418	0.738689	1.80365	0.0959157
-0.2765	1.02387	-0.0181709	-0.0940833	0.73869	1.80367	0.095822
-0.2755	1.02385	-0.0181774	-0.0939853	0.738691	1.8037	0.095727
-0.2745	1.02384	-0.0181838	-0.093886	0.738692	1.80373	0.0956307
-0.2735	1.02382	-0.0181902	-0.0937854	0.738693	1.80377	0.0955331
-0.2725	1.0238	-0.0181965	-0.0936834	0.738694	1.8038	0.0954343
