x	rho	u	v	p	e	uMax
-0.49875	1.01076	-0.0102599	-0.0999493	0.725119	1.79349	0.100474
-0.49625	1.01494	-0.0132662	-0.0999043	0.729324	1.79647	0.100781
-0.49375	1.0156	-0.0137953	-0.0998994	0.72999	1.79694	0.100847
-0.49125	1.01568	-0.0138117	-0.0999007	0.730069	1.797	0.100851
-0.48875	1.01561	-0.0137283	-0.0999047	0.729997	1.79694	0.100844
-0.48625	1.01552	-0.0136165	-0.0999122	0.729894	1.79686	0.100836
-0.48375	1.01543	-0.0135129	-0.0999205	0.729798	1.79677	0.10083
-0.48125	1.01535	-0.0134132	-0.0999286	0.729707	1.79669	0.100825
-0.47875	1.01527	-0.013314	-0.0999367	0.729618	1.79661	0.10082
-0.47625	1.01519	-0.0132148	-0.0999448	0.729528	1.79654	0.100815
-0.47375	1.0151	-0.0131155	-0.0999527	0.729438	1.79647	0.100809
-0.47125	1.01501	-0.0130159	-0.09996	0.729348	1.7964	0.100804
-0.46875	1.01493	-0.012916	-0.0999666	0.729257	1.79633	0.100798
-0.46625	1.01484	-0.0128159	-0.0999724	0.729167	1.79627	0.100791
-0.46375	1.01475	-0.0127157	-0.0999775	0.729076	1.7962	0.100783
-0.46125	1.01466	-0.0126152	-0.0999818	0.728985	1.79614	0.100775
-0.45875	1.01456	-0.0125146	-0.0999854	0.728894	1.79608	0.100766
-0.45625	1.01447	-0.0124138	-0.0999884	0.728803	1.79601	0.100756
-0.45375	1.01438	-0.0123129	-0.0999909	0.728712	1.79595	0.100746
-0.45125	1.01429	-0.0122119	-0.0999929	0.728621	1.79589	0.100736
-0.44875	1.0142	-0.0121109	-0.0999945	0.728529	1.79582	0.100725
-0.44625	1.01411	-0.0120099	-0.0999957	0.728438	1.79576	0.100714
-0.44375	1.01402	-0.0119089	-0.0999967	0.728346	1.79569	0.100703
-0.44125	1.01393	-0.0118079	-0.0999975	0.728254	1.79563	0.100692
-0.43875	1.01384	-0.0117069	-0.0999981	0.728163	1.79556	0.100681
-0.43625	1.01375	-0.0116059	-0.0999985	0.728071	1.7955	0.10067
-0.43375	1.01365	-0.0115049	-0.0999988	0.727979	1.79543	0.100658
-0.43125	1.01356	-0.0114039	-0.0999991	0.727887	1.79537	0.100647
-0.42875	1.01347	-0.0113029	-0.0999992	0.727796	1.7953	0.100636
-0.42625	1.01338	-0.0112017	-0.0999993	0.727704	1.79524	0.100625
-0.42375	1.01329	-0.0111005	-0.0999994	0.727611	1.79517	0.100614
-0.42125	1.0132	-0.0109993	-0.0999995	0.727519	1.79511	0.100603
-0.41875	1.0131	-0.0108979	-0.0999995	0.727427	1.79504	0.100592
-0.41625	1.01301	-0.0107965	-0.0999995	0.727334	1.79498	0.100581
-0.41375	1.01292	-0.010695	-0.0999996	0.727242	1.79491	0.10057
-0.41125	1.01283	-0.0105935	-0.0999996	0.727149	1.79485	0.100559
-0.40875	1.01274	-0.0104921	-0.0999996	0.727057	1.79478	0.100548
-0.40625	1.01264	-0.0103906	-0.0999996	0.726964	1.79472	0.100538
-0.40375	1.01255	-0.0102892	-0.0999996	0.726872	1.79465	0.100528
-0.40125	1.01246	-0.0101879	-0.0999996	0.726779	1.79459	0.100517
-0.39875	1.01237	-0.0100867	-0.0999996	0.726686	1.79452	0.100507
-0.39625	1.01228	-0.00998548	-0.0999996	0.726594	1.79446	0.100497
-0.39375	1.01218	-0.00988436	-0.0999996	0.726502	1.79439	0.100487
-0.39125	1.01209	-0.00978328	-0.0999996	0.726409	1.79433	0.100477
-0.38875	1.012	-0.00968225	-0.0999996	0.726317	1.79426	0.100467
-0.38625	1.01191	-0.00958124	-0.0999996	0.726224	1.7942	0.100458
-0.38375	1.01182	-0.00948025	-0.0999996	0.726132	1.79413	0.100448
-0.38125	1.01172	-0.00937926	-0.0999996	0.726039	1.79407	0.100438
-0.37875	1.01163	-0.00927827	-0.0999996	0.725947	1.794	0.100429
-0.37625	1.01154	-0.00917725	-0.0999996	0.725854	1.79393	0.10042
-0.37375	1.01145	-0.00907621	-0.0999996	0.725761	1.79387	0.100411
-0.37125	1.01135	-0.00897514	-0.0999996	0.725668	1.7938	0.100402
-0.36875	1.01126	-0.00887404	-0.0999996	0.725576	1.79374	0.100393
-0.36625	1.01117	-0.00877293	-0.0999996	0.725483	1.79367	0.100384
-0.36375	1.01108	-0.0086718	-0.0999996	0.72539	1.79361	0.100375
-0.36125	1.01098	-0.0085707	-0.0999996	0.725297	1.79354	0.100366
-0.35875	1.01089	-0.00846964	-0.0999996	0.725204	1.79348	0.100358
-0.35625	1.0108	-0.00836867	-0.0999996	0.725111	1.79341	0.100349
-0.35375	1.01071	-0.0082678	-0.0999996	0.725018	1.79334	0.100341
-0.35125	1.01061	-0.00816708	-0.0999996	0.724925	1.79328	0.100333
-0.34875	1.01052	-0.00806655	-0.0999996	0.724833	1.79321	0.100324
-0.34625	1.01043	-0.00796625	-0.0999996	0.72474	1.79315	0.100316
-0.34375	1.01034	-0.00786621	-0.0999996	0.724648	1.79308	0.100308
-0.34125	1.01025	-0.00776647	-0.0999996	0.724556	1.79302	0.100301
-0.33875	1.01016	-0.00766706	-0.0999996	0.724465	1.79295	0.100293
-0.33625	1.01007	-0.007568	-0.0999996	0.724373	1.79289	0.100286
-0.33375	1.00997	-0.00746928	-0.0999996	0.724282	1.79282	0.100278
-0.33125	1.00988	-0.00737089	-0.0999996	0.724192	1.79276	0.100271
-0.32875	1.00979	-0.00727281	-0.0999996	0.724101	1.7927	0.100264
-0.32625	1.0097	-0.007175	-0.0999996	0.724011	1.79263	0.100257
-0.32375	1.00961	-0.00707741	-0.0999996	0.723921	1.79257	0.10025
-0.32125	1.00952	-0.00697998	-0.0999996	0.723831	1.7925	0.100243
-0.31875	1.00944	-0.00688266	-0.0999996	0.723741	1.79244	0.100236
-0.31625	1.00935	-0.00678541	-0.0999996	0.723651	1.79238	0.10023
-0.31375	1.00926	-0.00668818	-0.0999996	0.723562	1.79231	0.100223
-0.31125	1.00917	-0.00659091	-0.0999996	0.723472	1.79225	0.100217
-0.30875	1.00908	-0.00649357	-0.0999996	0.723382	1.79219	0.10021
