x	rho	u	v	p	e	uMax
-0.49875	1.01228	-0.012045	-0.099917	0.726641	1.79456	0.10064
-0.49625	1.01863	-0.015236	-0.0997987	0.733024	1.79905	0.100955
-0.49375	1.02055	-0.0154944	-0.0997348	0.734951	1.80039	0.100931
-0.49125	1.02132	-0.0156045	-0.09971	0.735728	1.80092	0.100924
-0.48875	1.02164	-0.0156607	-0.0997018	0.736047	1.80113	0.100924
-0.48625	1.02179	-0.0156963	-0.0996997	0.736186	1.80122	0.100928
-0.48375	1.02186	-0.0157238	-0.0997018	0.736253	1.80126	0.100934
-0.48125	1.0219	-0.0157483	-0.0997071	0.73629	1.80128	0.100943
-0.47875	1.02192	-0.0157713	-0.0997137	0.736314	1.8013	0.100953
-0.47625	1.02194	-0.0157936	-0.0997202	0.736333	1.80131	0.100963
-0.47375	1.02196	-0.0158157	-0.0997263	0.736349	1.80132	0.100973
-0.47125	1.02198	-0.0158376	-0.0997318	0.736366	1.80133	0.100981
-0.46875	1.02199	-0.0158593	-0.0997367	0.736381	1.80134	0.10099
-0.46625	1.02201	-0.015881	-0.099741	0.736396	1.80135	0.100997
-0.46375	1.02202	-0.0159025	-0.0997446	0.736411	1.80136	0.101004
-0.46125	1.02204	-0.015924	-0.0997476	0.736426	1.80137	0.101011
-0.45875	1.02205	-0.0159453	-0.0997499	0.73644	1.80138	0.101016
-0.45625	1.02206	-0.0159666	-0.0997515	0.736454	1.80139	0.101021
-0.45375	1.02208	-0.0159877	-0.0997525	0.736468	1.8014	0.101026
-0.45125	1.02209	-0.0160088	-0.0997528	0.736481	1.80141	0.101029
-0.44875	1.02211	-0.0160298	-0.0997524	0.736495	1.80142	0.101032
-0.44625	1.02212	-0.0160507	-0.0997513	0.736508	1.80142	0.101034
-0.44375	1.02213	-0.0160715	-0.0997496	0.736521	1.80143	0.101036
-0.44125	1.02214	-0.0160923	-0.0997471	0.736534	1.80144	0.101037
-0.43875	1.02216	-0.0161129	-0.0997437	0.736546	1.80145	0.101037
-0.43625	1.02217	-0.0161335	-0.0997397	0.736558	1.80146	0.101036
-0.43375	1.02218	-0.016154	-0.0997348	0.736571	1.80147	0.101035
-0.43125	1.02219	-0.0161744	-0.0997291	0.736583	1.80148	0.101032
-0.42875	1.02221	-0.0161948	-0.0997225	0.736594	1.80148	0.101029
-0.42625	1.02222	-0.0162151	-0.099715	0.736606	1.80149	0.101025
-0.42375	1.02223	-0.0162353	-0.0997066	0.736618	1.8015	0.10102
-0.42125	1.02224	-0.0162554	-0.0996971	0.736629	1.80151	0.101014
-0.41875	1.02225	-0.0162755	-0.0996867	0.73664	1.80151	0.101007
-0.41625	1.02226	-0.0162955	-0.0996752	0.736651	1.80152	0.100998
-0.41375	1.02227	-0.0163155	-0.0996626	0.736662	1.80153	0.100989
-0.41125	1.02228	-0.0163354	-0.0996488	0.736672	1.80154	0.100979
-0.40875	1.02229	-0.0163552	-0.0996339	0.736683	1.80154	0.100967
-0.40625	1.0223	-0.016375	-0.0996177	0.736693	1.80155	0.100955
-0.40375	1.02231	-0.0163948	-0.0996002	0.736703	1.80156	0.100941
-0.40125	1.02232	-0.0164144	-0.0995813	0.736713	1.80157	0.100925
-0.39875	1.02233	-0.0164341	-0.0995611	0.736723	1.80157	0.100908
-0.39625	1.02234	-0.0164537	-0.0995393	0.736732	1.80158	0.10089
-0.39375	1.02235	-0.0164732	-0.099516	0.736742	1.80159	0.10087
-0.39125	1.02236	-0.0164927	-0.0994912	0.736751	1.80159	0.100849
-0.38875	1.02237	-0.0165122	-0.0994646	0.73676	1.8016	0.100826
-0.38625	1.02238	-0.0165316	-0.0994363	0.736769	1.80161	0.100801
-0.38375	1.02239	-0.016551	-0.0994062	0.736778	1.80161	0.100775
-0.38125	1.0224	-0.0165703	-0.0993743	0.736786	1.80162	0.100746
-0.37875	1.0224	-0.0165896	-0.0993403	0.736795	1.80162	0.100716
-0.37625	1.02241	-0.0166089	-0.0993043	0.736803	1.80163	0.100684
-0.37375	1.02242	-0.0166281	-0.0992662	0.736811	1.80164	0.100649
-0.37125	1.02243	-0.0166473	-0.0992259	0.736819	1.80164	0.100613
-0.36875	1.02243	-0.0166665	-0.0991833	0.736827	1.80165	0.100574
-0.36625	1.02244	-0.0166856	-0.0991383	0.736835	1.80165	0.100533
-0.36375	1.02245	-0.0167047	-0.0990908	0.736842	1.80166	0.100489
-0.36125	1.02245	-0.0167238	-0.0990407	0.736849	1.80167	0.100443
-0.35875	1.02246	-0.0167429	-0.098988	0.736856	1.80167	0.100394
-0.35625	1.02247	-0.0167619	-0.0989324	0.736863	1.80168	0.100342
-0.35375	1.02247	-0.0167809	-0.0988739	0.73687	1.80169	0.100288
-0.35125	1.02248	-0.0167999	-0.0988125	0.736877	1.80169	0.10023
-0.34875	1.02248	-0.0168189	-0.0987478	0.736883	1.8017	0.10017
-0.34625	1.02249	-0.0168378	-0.09868	0.73689	1.8017	0.100106
-0.34375	1.0225	-0.0168567	-0.0986087	0.736896	1.80171	0.100039
-0.34125	1.0225	-0.0168756	-0.098534	0.736902	1.80171	0.0999686
-0.33875	1.0225	-0.0168945	-0.0984556	0.736907	1.80172	0.0998946
-0.33625	1.02251	-0.0169133	-0.0983735	0.736913	1.80173	0.0998168
-0.33375	1.02251	-0.0169322	-0.0982875	0.736918	1.80174	0.0997353
-0.33125	1.02251	-0.0169509	-0.0981975	0.736924	1.80175	0.0996498
-0.32875	1.02251	-0.0169697	-0.0981033	0.736929	1.80176	0.0995602
-0.32625	1.02251	-0.0169884	-0.0980049	0.736934	1.80177	0.0994664
-0.32375	1.02251	-0.0170071	-0.0979019	0.736939	1.80178	0.0993682
-0.32125	1.02251	-0.0170257	-0.0977944	0.736944	1.8018	0.0992654
-0.31875	1.02251	-0.0170443	-0.0976821	0.736948	1.80181	0.0991579
-0.31625	1.02251	-0.0170628	-0.0975648	0.736953	1.80182	0.0990456
-0.31375	1.02251	-0.0170813	-0.0974425	0.736957	1.80183	0.0989283
-0.31125	1.02251	-0.0170997	-0.0973149	0.736961	1.80185	0.0988058
-0.30875	1.02251	-0.0171181	-0.0971819	0.736965	1.80186	0.098678
-0.30625	1.0225	-0.0171364	-0.0970433	0.736969	1.80188	0.0985447
-0.30375	1.0225	-0.0171546	-0.096899	0.736973	1.8019	0.0984058
-0.30125	1.02249	-0.0171727	-0.0967488	0.736977	1.80192	0.098261
-0.29875	1.02248	-0.0171907	-0.0965924	0.73698	1.80194	0.0981102
-0.29625	1.02247	-0.0172086	-0.0964298	0.736983	1.80197	0.0979532
-0.29375	1.02246	-0.0172264	-0.0962607	0.736987	1.80199	0.0977899
-0.29125	1.02245	-0.0172441	-0.0960849	0.73699	1.80202	0.09762
-0.28875	1.02243	-0.0172616	-0.0959023	0.736993	1.80206	0.0974434
-0.28625	1.02242	-0.0172789	-0.0957127	0.736996	1.80209	0.0972598
-0.28375	1.0224	-0.017296	-0.0955158	0.736998	1.80213	0.0970692
-0.28125	1.02238	-0.017313	-0.0953116	0.737001	1.80217	0.0968712
-0.27875	1.02236	-0.0173297	-0.0950997	0.737004	1.80222	0.0966658
-0.27625	1.02233	-0.0173462	-0.09488	0.737006	1.80227	0.0964526
-0.27375	1.0223	-0.0173624	-0.0946524	0.737009	1.80233	0.0962316
-0.27125	1.02227	-0.0173784	-0.0944165	0.737011	1.80239	0.0960025
-0.26875	1.02223	-0.017394	-0.0941722	0.737013	1.80246	0.0957651
-0.26625	1.0222	-0.0174092	-0.0939193	0.737015	1.80253	0.0955192
-0.26375	1.02215	-0.0174241	-0.0936577	0.737018	1.80261	0.0952647
-0.26125	1.02211	-0.0174385	-0.093387	0.73702	1.8027	0.0950012
-0.25875	1.02205	-0.0174525	-0.0931071	0.737022	1.80279	0.0947287
-0.25625	1.022	-0.0174661	-0.0928178	0.737024	1.8029	0.0944469
-0.25375	1.02194	-0.017479	-0.0925189	0.737026	1.80301	0.0941556
-0.25125	1.02187	-0.0174914	-0.0922102	0.737028	1.80314	0.0938545
-0.24875	1.02179	-0.0175032	-0.0918915	0.737031	1.80328	0.0935436
-0.24625	1.02171	-0.0175142	-0.0915626	0.737033	1.80343	0.0932226
-0.24375	1.02162	-0.0175245	-0.0912233	0.737035	1.80359	0.0928913
-0.24125	1.02153	-0.0175341	-0.0908733	0.737037	1.80376	0.0925495
-0.23875	1.02142	-0.0175427	-0.0905126	0.73704	1.80396	0.0921969
-0.23625	1.02131	-0.0175504	-0.0901408	0.737042	1.80417	0.0918335
-0.23375	1.02118	-0.0175571	-0.0897579	0.737045	1.80439	0.0914589
-0.23125	1.02104	-0.0175628	-0.0893635	0.737048	1.80464	0.091073
-0.22875	1.0209	-0.0175671	-0.0889577	0.73705	1.80491	0.0906756
-0.22625	1.02074	-0.0175703	-0.08854	0.737054	1.8052	0.0902665
-0.22375	1.02056	-0.0175723	-0.0881104	0.737057	1.80552	0.0898456
-0.22125	1.02037	-0.0175728	-0.0876687	0.73706	1.80586	0.0894126
-0.21875	1.02017	-0.0175716	-0.0872147	0.737064	1.80623	0.0889672
-0.21625	1.01995	-0.0175688	-0.0867483	0.737068	1.80663	0.0885095
-0.21375	1.01971	-0.0175643	-0.0862692	0.737073	1.80707	0.0880391
-0.21125	1.01945	-0.0175578	-0.0857773	0.737077	1.80754	0.0875558
-0.20875	1.01917	-0.0175494	-0.0852725	0.737082	1.80805	0.0870596
-0.20625	1.01887	-0.0175388	-0.0847546	0.737088	1.8086	0.0865502
-0.20375	1.01854	-0.0175259	-0.0842234	0.737093	1.80919	0.0860275
-0.20125	1.01819	-0.0175106	-0.0836788	0.737099	1.80983	0.0854913
-0.19875	1.01781	-0.0174927	-0.0831207	0.737106	1.81052	0.0849414
-0.19625	1.0174	-0.017472	-0.0825489	0.737113	1.81127	0.0843777
-0.19375	1.01696	-0.0174484	-0.0819633	0.737121	1.81207	0.0838
-0.19125	1.01649	-0.0174217	-0.0813638	0.737129	1.81293	0.0832081
-0.18875	1.01598	-0.0173918	-0.0807503	0.737138	1.81386	0.082602
-0.18625	1.01543	-0.0173584	-0.0801227	0.737147	1.81486	0.0819814
-0.18375	1.01485	-0.0173213	-0.0794808	0.737157	1.81593	0.0813463
-0.18125	1.01422	-0.0172803	-0.0788246	0.737167	1.81708	0.0806965
-0.17875	1.01355	-0.0172353	-0.0781541	0.737179	1.81831	0.0800319
-0.17625	1.01283	-0.0171859	-0.077469	0.737191	1.81964	0.0793524
-0.17375	1.01205	-0.0171321	-0.0767694	0.737203	1.82106	0.0786578
-0.17125	1.01123	-0.0170734	-0.0760552	0.737217	1.82258	0.077948
-0.16875	1.01035	-0.0170098	-0.0753263	0.737231	1.8242	0.077223
-0.16625	1.0094	-0.0169409	-0.0745828	0.737246	1.82594	0.0764826
-0.16375	1.0084	-0.0168666	-0.0738245	0.737262	1.8278	0.0757267
-0.16125	1.00733	-0.0167865	-0.0730515	0.737279	1.82979	0.0749553
-0.15875	1.00619	-0.0167004	-0.0722637	0.737297	1.8319	0.0741683
-0.15625	1.00498	-0.016608	-0.0714611	0.737315	1.83416	0.0733656
-0.15375	1.00369	-0.0165091	-0.0706438	0.737334	1.83657	0.0725472
-0.15125	1.00232	-0.0164035	-0.0698117	0.737355	1.83913	0.071713
-0.14875	1.00086	-0.0162908	-0.0689649	0.737376	1.84185	0.0708629
-0.14625	0.999323	-0.0161708	-0.0681035	0.737397	1.84474	0.069997
-0.14375	0.997693	-0.0160433	-0.0672274	0.73742	1.84781	0.0691152
-0.14125	0.995969	-0.0159081	-0.0663367	0.737443	1.85107	0.0682175
-0.13875	0.994149	-0.0157648	-0.0654315	0.737468	1.85452	0.0673039
-0.13625	0.992229	-0.0156133	-0.064512	0.737492	1.85817	0.0663745
-0.13375	0.990206	-0.0154534	-0.0635781	0.737518	1.86203	0.0654292
-0.13125	0.988078	-0.0152849	-0.06263	0.737544	1.86611	0.0644682
-0.12875	0.985842	-0.0151076	-0.0616678	0.73757	1.87041	0.0634914
-0.12625	0.983497	-0.0149213	-0.0606914	0.737597	1.87493	0.0624988
-0.12375	0.98104	-0.014726	-0.0597014	0.737624	1.8797	0.0614908
-0.12125	0.978469	-0.0145216	-0.058698	0.737651	1.88471	0.0604676
-0.11875	0.975784	-0.0143079	-0.0576808	0.737678	1.88996	0.0594289
-0.11625	0.972984	-0.0140849	-0.0566503	0.737705	1.89547	0.0583751
-0.11375	0.970069	-0.0138528	-0.0556068	0.737731	1.90123	0.0573063
-0.11125	0.96704	-0.0136114	-0.0545503	0.737757	1.90726	0.0562228
-0.10875	0.963897	-0.0133609	-0.0534811	0.737783	1.91354	0.0551248
-0.10625	0.960643	-0.0131014	-0.0523994	0.737807	1.92009	0.0540125
-0.10375	0.957279	-0.012833	-0.0513055	0.737831	1.9269	0.0528861
