x	rho	u	v	p	e	uMax
-0.4975	1.01333	-0.0123433	-0.0999297	0.727742	1.79542	0.100689
-0.4925	1.02249	-0.0199418	-0.0998701	0.736955	1.80187	0.101842
-0.4875	1.02449	-0.0214013	-0.0998648	0.738957	1.80323	0.102132
-0.4825	1.02484	-0.0216322	-0.0998782	0.739304	1.80345	0.102194
-0.4775	1.0249	-0.0216561	-0.099894	0.739352	1.80348	0.102214
-0.4725	1.02489	-0.0216333	-0.0999094	0.739335	1.80346	0.102225
-0.4675	1.02486	-0.0215924	-0.099924	0.739298	1.80341	0.10223
-0.4625	1.02483	-0.0215538	-0.099937	0.739262	1.80337	0.102235
-0.4575	1.02481	-0.0215172	-0.0999481	0.739228	1.80334	0.102238
-0.4525	1.02478	-0.0214804	-0.0999578	0.739194	1.8033	0.10224
-0.4475	1.02475	-0.021443	-0.099966	0.73916	1.80327	0.10224
-0.4425	1.02471	-0.0214049	-0.0999728	0.739124	1.80325	0.102239
-0.4375	1.02468	-0.0213661	-0.0999784	0.739088	1.80322	0.102236
-0.4325	1.02464	-0.0213267	-0.099983	0.739052	1.8032	0.102232
-0.4275	1.0246	-0.0212867	-0.099987	0.739014	1.80317	0.102228
-0.4225	1.02457	-0.0212463	-0.0999905	0.738976	1.80314	0.102223
-0.4175	1.02453	-0.0212056	-0.0999935	0.738937	1.80312	0.102217
-0.4125	1.02449	-0.0211646	-0.0999955	0.738898	1.80309	0.102211
-0.4075	1.02445	-0.0211235	-0.099997	0.738859	1.80306	0.102204
-0.4025	1.02441	-0.0210822	-0.099998	0.738819	1.80303	0.102196
-0.3975	1.02437	-0.021041	-0.0999987	0.738779	1.80301	0.102188
-0.3925	1.02433	-0.0209996	-0.0999991	0.738739	1.80298	0.10218
-0.3875	1.02429	-0.020958	-0.0999994	0.738698	1.80295	0.102172
-0.3825	1.02425	-0.0209161	-0.0999996	0.738657	1.80292	0.102164
-0.3775	1.02421	-0.0208738	-0.0999997	0.738616	1.80289	0.102155
-0.3725	1.02417	-0.0208309	-0.0999998	0.738574	1.80286	0.102146
-0.3675	1.02413	-0.0207874	-0.0999998	0.738531	1.80283	0.102138
-0.3625	1.02408	-0.0207432	-0.0999999	0.738487	1.8028	0.102129
-0.3575	1.02404	-0.0206982	-0.0999999	0.738442	1.80277	0.102119
-0.3525	1.02399	-0.0206526	-0.0999999	0.738396	1.80274	0.10211
-0.3475	1.02395	-0.0206065	-0.0999999	0.73835	1.80271	0.102101
-0.3425	1.0239	-0.02056	-0.0999998	0.738303	1.80267	0.102092
-0.3375	1.02385	-0.0205134	-0.0999998	0.738256	1.80264	0.102082
-0.3325	1.02381	-0.020467	-0.0999998	0.738208	1.80261	0.102073
-0.3275	1.02376	-0.0204208	-0.0999998	0.738161	1.80257	0.102064
-0.3225	1.02371	-0.0203748	-0.0999998	0.738113	1.80254	0.102054
-0.3175	1.02367	-0.0203291	-0.0999998	0.738066	1.80251	0.102045
-0.3125	1.02362	-0.0202836	-0.0999998	0.738018	1.80248	0.102036
-0.3075	1.02357	-0.0202381	-0.0999999	0.737971	1.80244	0.102027
-0.3025	1.02352	-0.0201924	-0.0999999	0.737923	1.80241	0.102018
-0.2975	1.02347	-0.0201466	-0.0999999	0.737874	1.80238	0.102009
-0.2925	1.02342	-0.0201002	-0.0999999	0.737825	1.80234	0.102
-0.2875	1.02337	-0.0200534	-0.0999999	0.737774	1.80231	0.101991
-0.2825	1.02332	-0.0200059	-0.0999999	0.737723	1.80227	0.101981
-0.2775	1.02327	-0.0199578	-0.0999998	0.737671	1.80223	0.101972
-0.2725	1.02322	-0.0199092	-0.0999998	0.737618	1.80219	0.101962
-0.2675	1.02317	-0.0198603	-0.0999996	0.737564	1.80215	0.101953
-0.2625	1.02312	-0.0198115	-0.0999994	0.737509	1.80212	0.101943
