x	rho	u	v	p	e	uMax
-0.495	1.01817	-0.0161295	-0.0998536	0.732593	1.7988	0.101148
-0.485	1.02409	-0.0206322	-0.099789	0.738532	1.8029	0.1019
-0.475	1.02455	-0.0209142	-0.0998125	0.73898	1.80319	0.10198
-0.465	1.02461	-0.0209534	-0.0998502	0.73903	1.8032	0.102025
-0.455	1.02463	-0.0209725	-0.0998841	0.739045	1.8032	0.102062
-0.445	1.02464	-0.0209878	-0.0999127	0.739055	1.8032	0.102093
-0.435	1.02465	-0.0210007	-0.0999379	0.739062	1.80321	0.102121
-0.425	1.02466	-0.0210116	-0.0999594	0.739067	1.80321	0.102144
-0.415	1.02466	-0.0210211	-0.0999755	0.739071	1.80321	0.102162
-0.405	1.02466	-0.0210295	-0.0999864	0.739072	1.80321	0.102174
-0.395	1.02466	-0.0210369	-0.0999932	0.739071	1.80321	0.102182
-0.385	1.02466	-0.0210426	-0.099997	0.739067	1.80321	0.102187
-0.375	1.02465	-0.021047	-0.0999989	0.739061	1.8032	0.10219
-0.365	1.02464	-0.0210496	-0.0999998	0.739052	1.8032	0.102191
-0.355	1.02463	-0.0210504	-0.1	0.739039	1.80319	0.102192
-0.345	1.02462	-0.0210496	-0.0999997	0.739024	1.80317	0.102191
-0.335	1.0246	-0.0210471	-0.0999992	0.739006	1.80316	0.10219
-0.325	1.02458	-0.0210432	-0.0999987	0.738985	1.80315	0.102189
-0.315	1.02455	-0.0210386	-0.0999989	0.738962	1.80313	0.102188
-0.305	1.02453	-0.021034	-0.1	0.738938	1.80312	0.102189
-0.295	1.0245	-0.0210298	-0.100003	0.738912	1.8031	0.10219
-0.285	1.02448	-0.0210261	-0.100008	0.738886	1.80308	0.102194
-0.275	1.02445	-0.021023	-0.100016	0.738858	1.80306	0.102202
-0.265	1.02442	-0.0210203	-0.100027	0.738829	1.80303	0.102212
-0.255	1.02439	-0.0210182	-0.100039	0.738797	1.80301	0.102223
-0.245	1.02436	-0.0210171	-0.100053	0.738762	1.80298	0.102236
-0.235	1.02432	-0.0210172	-0.10007	0.738727	1.80296	0.102253
-0.225	1.02428	-0.0210189	-0.100088	0.738689	1.80294	0.102271
-0.215	1.02424	-0.0210226	-0.100098	0.738649	1.80292	0.102282
-0.205	1.02419	-0.0210275	-0.100092	0.738602	1.8029	0.102277
-0.195	1.02412	-0.0210324	-0.100032	0.738539	1.80286	0.102219
-0.185	1.02402	-0.0210334	-0.0998107	0.738439	1.8028	0.102003
-0.175	1.0238	-0.0210284	-0.0992104	0.738276	1.80279	0.101414
-0.165	1.02334	-0.0210114	-0.0981248	0.738056	1.80306	0.100349
-0.155	1.0223	-0.0209574	-0.0965039	0.737798	1.80427	0.0987533
-0.145	1.01993	-0.0207851	-0.0942649	0.737495	1.8077	0.0965292
-0.135	1.01472	-0.0204256	-0.0914088	0.737026	1.81584	0.0936631
-0.125	1.00455	-0.0199088	-0.0879824	0.736437	1.83275	0.0902068
-0.115	0.987322	-0.0191243	-0.084063	0.735983	1.86358	0.0862109
-0.105	0.96177	-0.0179586	-0.0798107	0.735808	1.91264	0.0818063
-0.095	0.928906	-0.0164103	-0.0753588	0.735908	1.98058	0.0771249
-0.085	0.89288	-0.014627	-0.0706827	0.736112	2.06106	0.0721803
-0.075	0.859155	-0.0126882	-0.0655108	0.736495	2.14308	0.0667282
-0.065	0.830941	-0.0106072	-0.059523	0.736903	2.21707	0.0604608
-0.055	0.80899	-0.00847312	-0.0525676	0.737072	2.27776	0.0532461
-0.045	0.793032	-0.00648883	-0.0446104	0.737113	2.32372	0.0450798
-0.035	0.782205	-0.00471889	-0.0357001	0.737099	2.35584	0.0360106
-0.025	0.775505	-0.00313487	-0.0259064	0.737078	2.37612	0.0260953
-0.015	0.772001	-0.00163042	-0.0152864	0.737094	2.38696	0.0153731
-0.005	0.770786	-0.000109852	-0.00402086	0.737144	2.39088	0.00402236
0.005	0.770766	0.00135716	0.00712724	0.737128	2.39089	0.00725531
0.015	0.771973	0.00263447	0.0173325	0.736896	2.3864	0.0175315
0.025	0.776905	0.00378119	0.026564	0.736599	2.3703	0.0268318
0.035	0.787652	0.00498959	0.0353685	0.736569	2.33786	0.0357187
0.045	0.804458	0.00664654	0.0437161	0.736733	2.28953	0.0442185
0.055	0.827402	0.00865438	0.0514941	0.73672	2.226	0.0522163
0.065	0.855949	0.0109202	0.0586583	0.736633	2.15151	0.0596661
0.075	0.888113	0.0132893	0.0651483	0.736802	2.07407	0.0664899
0.085	0.920222	0.0157103	0.0709183	0.736931	2.00205	0.0726376
0.095	0.948982	0.0177257	0.0760122	0.736781	1.94098	0.0780517
0.105	0.972756	0.019152	0.0804847	0.736704	1.89334	0.0827321
0.115	0.990857	0.0200538	0.0843963	0.736777	1.85894	0.0867461
0.125	1.00363	0.0205682	0.0877878	0.736977	1.83578	0.0901652
0.135	1.01205	0.0208348	0.0906755	0.737245	1.82116	0.0930384
0.145	1.01728	0.0209527	0.0930489	0.737521	1.81248	0.0953788
0.155	1.02036	0.0209965	0.0949606	0.737773	1.80762	0.0972541
0.165	1.02211	0.0210072	0.0964616	0.737985	1.80505	0.0987226
0.175	1.02307	0.0210031	0.0976001	0.738158	1.80377	0.0998344
0.185	1.0236	0.0209957	0.0984355	0.738297	1.80319	0.10065
0.195	1.02389	0.0209886	0.0990275	0.738411	1.80296	0.101227
0.205	1.02406	0.0209829	0.0994314	0.738503	1.80289	0.101621
0.215	1.02416	0.0209805	0.0996953	0.738581	1.80289	0.101879
0.225	1.02424	0.0209801	0.099859	0.738646	1.80292	0.102039
0.235	1.0243	0.0209817	0.099954	0.738703	1.80295	0.102132
0.245	1.02435	0.020985	0.100004	0.738753	1.80299	0.102182
0.255	1.02439	0.020989	0.100026	0.738797	1.80302	0.102205
0.265	1.02443	0.0209933	0.100032	0.738836	1.80304	0.102211
0.275	1.02446	0.0209975	0.100031	0.738871	1.80307	0.102211
0.285	1.02449	0.0210009	0.100026	0.738902	1.80309	0.102207
0.295	1.02452	0.0210035	0.10002	0.73893	1.80311	0.102202
0.305	1.02455	0.0210048	0.100015	0.738955	1.80313	0.102197
0.315	1.02457	0.0210049	0.10001	0.738976	1.80314	0.102192
0.325	1.02458	0.0210037	0.100007	0.738994	1.80315	0.102188
0.335	1.0246	0.0210013	0.100004	0.739009	1.80317	0.102186
0.345	1.02461	0.0209984	0.100003	0.739023	1.80318	0.102184
0.355	1.02463	0.0209954	0.100002	0.739036	1.80318	0.102182
0.365	1.02464	0.0209924	0.100002	0.739047	1.80319	0.102182
