x	rho	u	v	p	e	uMax
-0.49875	1.01497	-0.0143714	-0.0999234	0.729379	1.79655	0.100952
-0.49625	1.02101	-0.018178	-0.0998413	0.735461	1.80082	0.101483
-0.49375	1.02225	-0.018958	-0.0998255	0.7367	1.80167	0.10161
-0.49125	1.02252	-0.0190862	-0.0998302	0.736967	1.80185	0.101638
-0.48875	1.02256	-0.0190961	-0.0998401	0.737009	1.80187	0.10165
-0.48625	1.02255	-0.0190672	-0.0998517	0.73699	1.80185	0.101656
-0.48375	1.02252	-0.0190281	-0.0998642	0.736956	1.80181	0.101661
-0.48125	1.0225	-0.0189897	-0.0998766	0.736921	1.80176	0.101666
-0.47875	1.02248	-0.0189522	-0.0998879	0.736888	1.80172	0.10167
-0.47625	1.02245	-0.0189149	-0.0998982	0.736855	1.80168	0.101673
-0.47375	1.02243	-0.0188775	-0.0999076	0.736821	1.80165	0.101675
-0.47125	1.0224	-0.0188401	-0.0999169	0.736788	1.80162	0.101678
-0.46875	1.02237	-0.0188024	-0.0999262	0.736755	1.80159	0.10168
-0.46625	1.02233	-0.0187647	-0.0999351	0.736722	1.80157	0.101682
-0.46375	1.0223	-0.018727	-0.0999435	0.736688	1.80155	0.101683
-0.46125	1.02227	-0.0186891	-0.099951	0.736655	1.80152	0.101683
-0.45875	1.02223	-0.0186511	-0.0999577	0.736622	1.8015	0.101683
-0.45625	1.0222	-0.018613	-0.0999637	0.736588	1.80148	0.101682
-0.45375	1.02217	-0.0185749	-0.0999689	0.736554	1.80145	0.10168
-0.45125	1.02213	-0.0185366	-0.0999735	0.736521	1.80143	0.101677
-0.44875	1.0221	-0.0184983	-0.0999775	0.736487	1.80141	0.101674
-0.44625	1.02207	-0.0184598	-0.099981	0.736453	1.80138	0.101671
-0.44375	1.02203	-0.0184213	-0.0999843	0.736418	1.80136	0.101667
-0.44125	1.022	-0.0183827	-0.0999873	0.736384	1.80133	0.101663
-0.43875	1.02196	-0.018344	-0.0999898	0.73635	1.80131	0.101659
-0.43625	1.02193	-0.0183052	-0.0999918	0.736315	1.80129	0.101653
-0.43375	1.0219	-0.0182663	-0.0999934	0.73628	1.80126	0.101648
-0.43125	1.02186	-0.0182273	-0.0999948	0.736246	1.80124	0.101642
-0.42875	1.02183	-0.0181883	-0.0999959	0.736211	1.80121	0.101637
-0.42625	1.02179	-0.0181492	-0.0999967	0.736176	1.80119	0.10163
-0.42375	1.02176	-0.0181099	-0.0999975	0.73614	1.80116	0.101624
-0.42125	1.02172	-0.0180706	-0.099998	0.736105	1.80114	0.101618
-0.41875	1.02169	-0.0180312	-0.0999985	0.73607	1.80111	0.101611
